clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Each project pays $25. What's the income from 25 projects?,625,Each project pays $48. What's the income from 8 projects?,384,25,25,48,8
Each project pays $12. What's the income from 4 projects?,48,Each project pays $12. What's the income from 6 projects?,72,12,4,12,6
A consultant charges $42 daily. What's the cost for 21 days?,882,A consultant charges $11 daily. What's the cost for 11 days?,121,42,21,11,11
A consultant charges $45 daily. What's the cost for 45 days?,2025,A consultant charges $16 daily. What's the cost for 8 days?,128,45,45,16,8
Overtime pays $42 per hour. How much for 6 overtime hours?,252,Overtime pays $47 per hour. How much for 47 overtime hours?,2209,42,6,47,47
Overtime pays $20 per hour. How much for 4 overtime hours?,80,Overtime pays $27 per hour. How much for 27 overtime hours?,729,20,4,27,27
Each crate holds 50 oranges. How many oranges in 25 crates?,1250,Each crate holds 39 oranges. How many oranges in 3 crates?,117,50,25,39,3
Each crate holds 24 oranges. How many oranges in 3 crates?,72,Each crate holds 46 oranges. How many oranges in 23 crates?,1058,24,3,46,23
Egg cartons contain 22 eggs each. How many eggs in 22 cartons?,484,Egg cartons contain 30 eggs each. How many eggs in 15 cartons?,450,22,22,30,15
Egg cartons contain 36 eggs each. How many eggs in 18 cartons?,648,Egg cartons contain 35 eggs each. How many eggs in 35 cartons?,1225,36,18,35,35
Jars contain 45 marbles each. How many marbles in 3 jars?,135,Jars contain 40 marbles each. How many marbles in 10 jars?,400,45,3,40,10
Jars contain 16 marbles each. How many marbles in 2 jars?,32,Jars contain 26 marbles each. How many marbles in 13 jars?,338,16,2,26,13
Cases hold 10 bottles each. How many bottles in 10 cases?,100,Cases hold 6 bottles each. How many bottles in 2 cases?,12,10,10,6,2
Cases hold 49 bottles each. How many bottles in 7 cases?,343,Cases hold 48 bottles each. How many bottles in 2 cases?,96,49,7,48,2
Packets have 49 seeds each. How many seeds in 7 packets?,343,Packets have 24 seeds each. How many seeds in 6 packets?,144,49,7,24,6
Packets have 3 seeds each. How many seeds in 3 packets?,9,Packets have 12 seeds each. How many seeds in 2 packets?,24,3,3,12,2
Tasks take 10 minutes each. How long for 5 tasks?,50,Tasks take 11 minutes each. How long for 11 tasks?,121,10,5,11,11
Tasks take 7 minutes each. How long for 7 tasks?,49,Tasks take 32 minutes each. How long for 8 tasks?,256,7,7,32,8
A process takes 44 hours per unit. How long for 44 units?,1936,A process takes 25 hours per unit. How long for 5 units?,125,44,44,25,5
A process takes 28 hours per unit. How long for 14 units?,392,A process takes 24 hours per unit. How long for 3 units?,72,28,14,24,3
Questions take 16 minutes each. How long for 16 questions?,256,Questions take 48 minutes each. How long for 12 questions?,576,16,16,48,12
Questions take 48 minutes each. How long for 16 questions?,768,Questions take 42 minutes each. How long for 6 questions?,252,48,16,42,6
A machine processes 42 items per hour. How many can it do in 6 hours?,252,A machine processes 37 items per hour. How many can it do in 37 hours?,1369,42,6,37,37
A machine processes 21 items per hour. How many can it do in 21 hours?,441,A machine processes 14 items per hour. How many can it do in 2 hours?,28,21,21,14,2
Customers take 39 minutes each to serve. How long for 39 customers?,1521,Customers take 34 minutes each to serve. How long for 2 customers?,68,39,39,34,2
Customers take 39 minutes each to serve. How long for 3 customers?,117,Customers take 38 minutes each to serve. How long for 2 customers?,76,39,3,38,2
A team scores 9 points per game. How many points in 9 games?,81,A team scores 14 points per game. How many points in 7 games?,98,9,9,14,7
A team scores 10 points per game. How many points in 5 games?,50,A team scores 36 points per game. How many points in 36 games?,1296,10,5,36,36
A player averages 32 rebounds per game. How many in 32 games?,1024,A player averages 15 rebounds per game. How many in 3 games?,45,32,32,15,3
A player averages 26 rebounds per game. How many in 13 games?,338,A player averages 22 rebounds per game. How many in 2 games?,44,26,13,22,2
Innings average 46 runs each. How many runs in 2 innings?,92,Innings average 40 runs each. How many runs in 8 innings?,320,46,2,40,8
Innings average 18 runs each. How many runs in 2 innings?,36,Innings average 39 runs each. How many runs in 3 innings?,117,18,2,39,3
A player makes 28 free throws per game. How many in 14 games?,392,A player makes 41 free throws per game. How many in 41 games?,1681,28,14,41,41
A player makes 26 free throws per game. How many in 13 games?,338,A player makes 12 free throws per game. How many in 3 games?,36,26,13,12,3
A team allows 47 goals per match. How many in 47 matches?,2209,A team allows 14 goals per match. How many in 7 matches?,98,47,47,14,7
A team allows 9 goals per match. How many in 3 matches?,27,A team allows 46 goals per match. How many in 23 matches?,1058,9,3,46,23
Matthew creates 4 paintings every month. How many paintings will be completed after 4 months?,16,Matthew creates 25 paintings every month. How many paintings will be completed after 5 months?,125,4,4,25,5
Matthew creates 20 paintings every month. How many paintings will be completed after 4 months?,80,Matthew creates 37 paintings every month. How many paintings will be completed after 37 months?,1369,20,4,37,37
Each sculpture requires 42 pounds of clay. How much clay is needed to make 14 sculptures?,588,Each sculpture requires 24 pounds of clay. How much clay is needed to make 3 sculptures?,72,42,14,24,3
Each sculpture requires 36 pounds of clay. How much clay is needed to make 18 sculptures?,648,Each sculpture requires 20 pounds of clay. How much clay is needed to make 4 sculptures?,80,36,18,20,4
The dance troupe performs 2 shows in each city. How many shows will they perform on a 2-city tour?,4,The dance troupe performs 36 shows in each city. How many shows will they perform on a 6-city tour?,216,2,2,36,6
The dance troupe performs 27 shows in each city. How many shows will they perform on a 27-city tour?,729,The dance troupe performs 40 shows in each city. How many shows will they perform on a 20-city tour?,800,27,27,40,20
Each art class uses 39 paint tubes weekly. How many tubes are needed for 3 classes?,117,Each art class uses 48 paint tubes weekly. How many tubes are needed for 3 classes?,144,39,3,48,3
Each art class uses 42 paint tubes weekly. How many tubes are needed for 21 classes?,882,Each art class uses 18 paint tubes weekly. How many tubes are needed for 18 classes?,324,42,21,18,18
Henry writes 30 poetry lines daily. How many lines will be written in 3 consecutive days?,90,Henry writes 24 poetry lines daily. How many lines will be written in 4 consecutive days?,96,30,3,24,4
Henry writes 10 poetry lines daily. How many lines will be written in 2 consecutive days?,20,Henry writes 48 poetry lines daily. How many lines will be written in 24 consecutive days?,1152,10,2,48,24
Each theater seat needs 46 yards of fabric. How much fabric is required for 23 seats?,1058,Each theater seat needs 30 yards of fabric. How much fabric is required for 30 seats?,900,46,23,30,30
Each theater seat needs 10 yards of fabric. How much fabric is required for 2 seats?,20,Each theater seat needs 9 yards of fabric. How much fabric is required for 3 seats?,27,10,2,9,3
The band sells 42 albums per concert. How many albums will they sell at 7 concerts?,294,The band sells 44 albums per concert. How many albums will they sell at 4 concerts?,176,42,7,44,4
The band sells 45 albums per concert. How many albums will they sell at 15 concerts?,675,The band sells 19 albums per concert. How many albums will they sell at 19 concerts?,361,45,15,19,19
Each mosaic tile covers 44 square inches. How much area can 22 tiles cover?,968,Each mosaic tile covers 12 square inches. How much area can 4 tiles cover?,48,44,22,12,4
Each mosaic tile covers 21 square inches. How much area can 7 tiles cover?,147,Each mosaic tile covers 11 square inches. How much area can 11 tiles cover?,121,21,7,11,11
The film crew shoots 11 scenes daily. How many scenes will they capture in 11 days?,121,The film crew shoots 25 scenes daily. How many scenes will they capture in 5 days?,125,11,11,25,5
The film crew shoots 36 scenes daily. How many scenes will they capture in 36 days?,1296,The film crew shoots 16 scenes daily. How many scenes will they capture in 2 days?,32,36,36,16,2
Each jewelry box holds 48 rings. How many rings can be stored in 8 boxes?,384,Each jewelry box holds 26 rings. How many rings can be stored in 13 boxes?,338,48,8,26,13
Each jewelry box holds 48 rings. How many rings can be stored in 24 boxes?,1152,Each jewelry box holds 50 rings. How many rings can be stored in 2 boxes?,100,48,24,50,2
The beehive produces 12 ounces of honey daily. What will be the total production after 4 days?,48,The beehive produces 38 ounces of honey daily. What will be the total production after 38 days?,1444,12,4,38,38
The beehive produces 48 ounces of honey daily. What will be the total production after 48 days?,2304,The beehive produces 48 ounces of honey daily. What will be the total production after 6 days?,288,48,48,48,6
Each rainforest tree hosts 30 epiphyte species. How many species would be found on 30 trees?,900,Each rainforest tree hosts 27 epiphyte species. How many species would be found on 9 trees?,243,30,30,27,9
Each rainforest tree hosts 23 epiphyte species. How many species would be found on 23 trees?,529,Each rainforest tree hosts 36 epiphyte species. How many species would be found on 12 trees?,432,23,23,36,12
The volcano erupts 30 tons of ash hourly. How much ash will be ejected in 5 hours?,150,The volcano erupts 40 tons of ash hourly. How much ash will be ejected in 40 hours?,1600,30,5,40,40
The volcano erupts 30 tons of ash hourly. How much ash will be ejected in 30 hours?,900,The volcano erupts 12 tons of ash hourly. How much ash will be ejected in 2 hours?,24,30,30,12,2
Each tide pool contains 40 hermit crabs. How many crabs would be in 40 pools?,1600,Each tide pool contains 48 hermit crabs. How many crabs would be in 6 pools?,288,40,40,48,6
Each tide pool contains 14 hermit crabs. How many crabs would be in 7 pools?,98,Each tide pool contains 12 hermit crabs. How many crabs would be in 2 pools?,24,14,7,12,2
The glacier recedes 24 inches daily. How much will it shrink after 3 days?,72,The glacier recedes 44 inches daily. How much will it shrink after 11 days?,484,24,3,44,11
The glacier recedes 27 inches daily. How much will it shrink after 27 days?,729,The glacier recedes 26 inches daily. How much will it shrink after 2 days?,52,27,27,26,2
The meteor shower produces 28 meteors hourly. How many might be seen during 28 hours?,784,The meteor shower produces 40 meteors hourly. How many might be seen during 4 hours?,160,28,28,40,4
The meteor shower produces 46 meteors hourly. How many might be seen during 46 hours?,2116,The meteor shower produces 30 meteors hourly. How many might be seen during 6 hours?,180,46,46,30,6
The sunflower grows 45 inches weekly. How tall will it be after 15 weeks?,675,The sunflower grows 4 inches weekly. How tall will it be after 2 weeks?,8,45,15,4,2
The sunflower grows 48 inches weekly. How tall will it be after 2 weeks?,96,The sunflower grows 30 inches weekly. How tall will it be after 5 weeks?,150,48,2,30,5
Each coral reef supports 14 fish species. How many species might exist across 14 reefs?,196,Each coral reef supports 15 fish species. How many species might exist across 3 reefs?,45,14,14,15,3
Each coral reef supports 48 fish species. How many species might exist across 2 reefs?,96,Each coral reef supports 18 fish species. How many species might exist across 18 reefs?,324,48,2,18,18
The thunderstorm produces 28 lightning flashes per minute. How many flashes in 28 minutes?,784,The thunderstorm produces 50 lightning flashes per minute. How many flashes in 10 minutes?,500,28,28,50,10
The thunderstorm produces 24 lightning flashes per minute. How many flashes in 2 minutes?,48,The thunderstorm produces 33 lightning flashes per minute. How many flashes in 3 minutes?,99,24,2,33,3
Each mushroom colony expands 27 square feet daily. How much area would 27 colonies cover?,729,Each mushroom colony expands 44 square feet daily. How much area would 11 colonies cover?,484,27,27,44,11
Each mushroom colony expands 42 square feet daily. How much area would 42 colonies cover?,1764,Each mushroom colony expands 39 square feet daily. How much area would 3 colonies cover?,117,42,42,39,3
The server handles 28 requests per second. How many requests in 7 seconds?,196,The server handles 8 requests per second. How many requests in 8 seconds?,64,28,7,8,8
The server handles 2 requests per second. How many requests in 2 seconds?,4,The server handles 32 requests per second. How many requests in 16 seconds?,512,2,2,32,16
Each smartphone has 16GB storage. How much total storage for 16 phones?,256,Each smartphone has 20GB storage. How much total storage for 2 phones?,40,16,16,20,2
Each smartphone has 40GB storage. How much total storage for 5 phones?,200,Each smartphone has 48GB storage. How much total storage for 2 phones?,96,40,5,48,2
The download speed is 39 MB per second. How much data will download in 13 seconds?,507,The download speed is 48 MB per second. How much data will download in 4 seconds?,192,39,13,48,4
The download speed is 4 MB per second. How much data will download in 2 seconds?,8,The download speed is 15 MB per second. How much data will download in 5 seconds?,75,4,2,15,5
Each robot assembles 18 components hourly. How many components can 9 robots assemble?,162,Each robot assembles 46 components hourly. How many components can 46 robots assemble?,2116,18,9,46,46
Each robot assembles 8 components hourly. How many components can 2 robots assemble?,16,Each robot assembles 35 components hourly. How many components can 7 robots assemble?,245,8,2,35,7
Each server rack uses 48 kilowatts. What's the total power for 2 racks?,96,Each server rack uses 18 kilowatts. What's the total power for 6 racks?,108,48,2,18,6
Each server rack uses 39 kilowatts. What's the total power for 39 racks?,1521,Each server rack uses 16 kilowatts. What's the total power for 8 racks?,128,39,39,16,8
Each software update takes 30 minutes. How long will 10 updates take?,300,Each software update takes 35 minutes. How long will 5 updates take?,175,30,10,35,5
Each software update takes 8 minutes. How long will 4 updates take?,32,Each software update takes 24 minutes. How long will 2 updates take?,48,8,4,24,2
The fiber cable transmits 26 TB per hour. How much data in 13 hours?,338,The fiber cable transmits 14 TB per hour. How much data in 14 hours?,196,26,13,14,14
The fiber cable transmits 34 TB per hour. How much data in 2 hours?,68,The fiber cable transmits 48 TB per hour. How much data in 4 hours?,192,34,2,48,4
Each smartwatch tracks 37 health metrics. How many metrics for 37 watches?,1369,Each smartwatch tracks 25 health metrics. How many metrics for 5 watches?,125,37,37,25,5
Each smartwatch tracks 20 health metrics. How many metrics for 2 watches?,40,Each smartwatch tracks 20 health metrics. How many metrics for 20 watches?,400,20,2,20,20
The 3D printer makes 38 layers per minute. How many layers in 2 minutes?,76,The 3D printer makes 6 layers per minute. How many layers in 3 minutes?,18,38,2,6,3
The 3D printer makes 20 layers per minute. How many layers in 20 minutes?,400,The 3D printer makes 32 layers per minute. How many layers in 16 minutes?,512,20,20,32,16
Each VR headset needs 38 sensors. How many sensors for 2 headsets?,76,Each VR headset needs 26 sensors. How many sensors for 13 headsets?,338,38,2,26,13
Each VR headset needs 28 sensors. How many sensors for 2 headsets?,56,Each VR headset needs 19 sensors. How many sensors for 19 headsets?,361,28,2,19,19
The ferry transports 15 vehicles per trip. How many vehicles can it carry in 3 trips?,45,The ferry transports 36 vehicles per trip. How many vehicles can it carry in 3 trips?,108,15,3,36,3
The ferry transports 8 vehicles per trip. How many vehicles can it carry in 2 trips?,16,The ferry transports 42 vehicles per trip. How many vehicles can it carry in 3 trips?,126,8,2,42,3
Each airplane seat weighs 22 pounds. What is the total weight of 22 seats?,484,Each airplane seat weighs 30 pounds. What is the total weight of 10 seats?,300,22,22,30,10
Each airplane seat weighs 24 pounds. What is the total weight of 12 seats?,288,Each airplane seat weighs 24 pounds. What is the total weight of 8 seats?,192,24,12,24,8
A subway train arrives every 22 minutes. How many arrivals will there be in 2 minutes?,44,A subway train arrives every 36 minutes. How many arrivals will there be in 18 minutes?,648,22,2,36,18
A subway train arrives every 32 minutes. How many arrivals will there be in 8 minutes?,256,A subway train arrives every 28 minutes. How many arrivals will there be in 14 minutes?,392,32,8,28,14
Each scooter travels 11 miles per charge. How far can 11 scooters travel?,121,Each scooter travels 28 miles per charge. How far can 14 scooters travel?,392,11,11,28,14
Each scooter travels 33 miles per charge. How far can 33 scooters travel?,1089,Each scooter travels 44 miles per charge. How far can 22 scooters travel?,968,33,33,44,22
The cargo ship loads 46 containers hourly. How many containers can it load in 2 hours?,92,The cargo ship loads 32 containers hourly. How many containers can it load in 8 hours?,256,46,2,32,8
The cargo ship loads 6 containers hourly. How many containers can it load in 6 hours?,36,The cargo ship loads 27 containers hourly. How many containers can it load in 9 hours?,243,6,6,27,9
Each bicycle wheel requires 48 spokes. How many spokes are needed for 24 wheels?,1152,Each bicycle wheel requires 27 spokes. How many spokes are needed for 27 wheels?,729,48,24,27,27
Each bicycle wheel requires 8 spokes. How many spokes are needed for 2 wheels?,16,Each bicycle wheel requires 15 spokes. How many spokes are needed for 3 wheels?,45,8,2,15,3
The toll booth processes 40 cars per minute. How many cars can pass in 2 minutes?,80,The toll booth processes 33 cars per minute. How many cars can pass in 11 minutes?,363,40,2,33,11
The toll booth processes 30 cars per minute. How many cars can pass in 30 minutes?,900,The toll booth processes 40 cars per minute. How many cars can pass in 2 minutes?,80,30,30,40,2
Each train carriage has 44 seats. How many seats are in 22 carriages?,968,Each train carriage has 15 seats. How many seats are in 15 carriages?,225,44,22,15,15
Each train carriage has 36 seats. How many seats are in 4 carriages?,144,Each train carriage has 48 seats. How many seats are in 16 carriages?,768,36,4,48,16
The helicopter uses 27 gallons of fuel hourly. How much fuel will it use in 3 hours?,81,The helicopter uses 8 gallons of fuel hourly. How much fuel will it use in 8 hours?,64,27,3,8,8
The helicopter uses 40 gallons of fuel hourly. How much fuel will it use in 2 hours?,80,The helicopter uses 2 gallons of fuel hourly. How much fuel will it use in 2 hours?,4,40,2,2,2
Each electric vehicle charges at 46 kW. What's the total power needed for 2 vehicles?,92,Each electric vehicle charges at 22 kW. What's the total power needed for 11 vehicles?,242,46,2,22,11
Each electric vehicle charges at 35 kW. What's the total power needed for 5 vehicles?,175,Each electric vehicle charges at 39 kW. What's the total power needed for 39 vehicles?,1521,35,5,39,39
The Mars rover travels 32 meters daily. How far will it go in 8 days?,256,The Mars rover travels 30 meters daily. How far will it go in 30 days?,900,32,8,30,30
The Mars rover travels 16 meters daily. How far will it go in 4 days?,64,The Mars rover travels 30 meters daily. How far will it go in 5 days?,150,16,4,30,5
Each astronaut consumes 30 pounds of food weekly. How much food is needed for 15 weeks?,450,Each astronaut consumes 37 pounds of food weekly. How much food is needed for 37 weeks?,1369,30,15,37,37
Each astronaut consumes 32 pounds of food weekly. How much food is needed for 4 weeks?,128,Each astronaut consumes 36 pounds of food weekly. How much food is needed for 36 weeks?,1296,32,4,36,36
The satellite completes 30 orbits daily. How many orbits in 3 days?,90,The satellite completes 48 orbits daily. How many orbits in 2 days?,96,30,3,48,2
The satellite completes 16 orbits daily. How many orbits in 8 days?,128,The satellite completes 22 orbits daily. How many orbits in 2 days?,44,16,8,22,2
Each spacewalk requires 36 hours of prep. How much prep time for 3 spacewalks?,108,Each spacewalk requires 20 hours of prep. How much prep time for 10 spacewalks?,200,36,3,20,10
Each spacewalk requires 48 hours of prep. How much prep time for 8 spacewalks?,384,Each spacewalk requires 30 hours of prep. How much prep time for 6 spacewalks?,180,48,8,30,6
The rocket burns 47 tons of fuel per minute. How much fuel will it use in 47 minutes?,2209,The rocket burns 30 tons of fuel per minute. How much fuel will it use in 6 minutes?,180,47,47,30,6
The rocket burns 29 tons of fuel per minute. How much fuel will it use in 29 minutes?,841,The rocket burns 24 tons of fuel per minute. How much fuel will it use in 2 minutes?,48,29,29,24,2
Each lunar module carries 48 instruments. How many instruments can 24 modules carry?,1152,Each lunar module carries 32 instruments. How many instruments can 2 modules carry?,64,48,24,32,2
Each lunar module carries 42 instruments. How many instruments can 2 modules carry?,84,Each lunar module carries 40 instruments. How many instruments can 5 modules carry?,200,42,2,40,5
The telescope captures 24 images per orbit. How many images in 3 orbits?,72,The telescope captures 44 images per orbit. How many images in 22 orbits?,968,24,3,44,22
The telescope captures 42 images per orbit. How many images in 6 orbits?,252,The telescope captures 20 images per orbit. How many images in 5 orbits?,100,42,6,20,5
Each asteroid sample weighs 12 grams. What is the total weight of 6 samples?,72,Each asteroid sample weighs 28 grams. What is the total weight of 28 samples?,784,12,6,28,28
Each asteroid sample weighs 44 grams. What is the total weight of 44 samples?,1936,Each asteroid sample weighs 32 grams. What is the total weight of 16 samples?,512,44,44,32,16
The spaceship's shield blocks 25 radiation units hourly. How much radiation can it block in 5 hours?,125,The spaceship's shield blocks 30 radiation units hourly. How much radiation can it block in 15 hours?,450,25,5,30,15
The spaceship's shield blocks 24 radiation units hourly. How much radiation can it block in 8 hours?,192,The spaceship's shield blocks 22 radiation units hourly. How much radiation can it block in 11 hours?,242,24,8,22,11
Each Mars transmission takes 6 minutes. How long will 3 transmissions take?,18,Each Mars transmission takes 8 minutes. How long will 8 transmissions take?,64,6,3,8,8
Each Mars transmission takes 26 minutes. How long will 2 transmissions take?,52,Each Mars transmission takes 42 minutes. How long will 6 transmissions take?,252,26,2,42,6
