clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,operand1,operand2
Each serving requires 44 ounces. How much for 11 servings?,484,11 servings used 44 ounces total. How much per serving?,4,44,11
Punch needs 18 liters per bowl. How much for 18 bowls?,324,18 bowls used 18 liters total. What was the amount per bowl?,1,18,18
Punch needs 46 liters per bowl. How much for 23 bowls?,1058,23 bowls used 46 liters total. What was the amount per bowl?,2,46,23
Isla earns $2 per hour. How much for 2 hours?,4,Isla earned $2 by working 2 hours. What was the hourly pay?,1,2,2
Isla earns $32 per hour. How much for 2 hours?,64,Isla earned $32 by working 2 hours. What was the hourly pay?,16,32,2
Workers are paid $15 per item. How much for 5 items?,75,A worker earned $15 from 5 items. What was the per-item rate?,3,15,5
Workers are paid $30 per item. How much for 10 items?,300,A worker earned $30 from 10 items. What was the per-item rate?,3,30,10
Each project pays $25. What's the income from 25 projects?,625,25 projects earned $25 total. What was the average per project?,1,25,25
Each project pays $12. What's the income from 4 projects?,48,4 projects earned $12 total. What was the average per project?,3,12,4
A consultant charges $42 daily. What's the cost for 21 days?,882,A consultant's 21 days of work cost $42. What was the daily rate?,2,42,21
A consultant charges $45 daily. What's the cost for 45 days?,2025,A consultant's 45 days of work cost $45. What was the daily rate?,1,45,45
Overtime pays $42 per hour. How much for 6 overtime hours?,252,6 overtime hours earned $42. What was the overtime rate?,7,42,6
Overtime pays $20 per hour. How much for 4 overtime hours?,80,4 overtime hours earned $20. What was the overtime rate?,5,20,4
Each crate holds 50 oranges. How many oranges in 25 crates?,1250,50 oranges are packed equally in 25 crates. How many per crate?,2,50,25
Each crate holds 24 oranges. How many oranges in 3 crates?,72,24 oranges are packed equally in 3 crates. How many per crate?,8,24,3
Egg cartons contain 22 eggs each. How many eggs in 22 cartons?,484,22 cartons hold 22 eggs total. How many eggs per carton?,1,22,22
Egg cartons contain 36 eggs each. How many eggs in 18 cartons?,648,18 cartons hold 36 eggs total. How many eggs per carton?,2,36,18
Jars contain 45 marbles each. How many marbles in 3 jars?,135,3 jars have 45 marbles total. What's the average per jar?,15,45,3
Jars contain 16 marbles each. How many marbles in 2 jars?,32,2 jars have 16 marbles total. What's the average per jar?,8,16,2
Cases hold 10 bottles each. How many bottles in 10 cases?,100,10 cases contain 10 bottles total. How many per case?,1,10,10
Cases hold 49 bottles each. How many bottles in 7 cases?,343,7 cases contain 49 bottles total. How many per case?,7,49,7
Packets have 49 seeds each. How many seeds in 7 packets?,343,7 packets contain 49 seeds total. How many seeds per packet?,7,49,7
Packets have 3 seeds each. How many seeds in 3 packets?,9,3 packets contain 3 seeds total. How many seeds per packet?,1,3,3
Tasks take 10 minutes each. How long for 5 tasks?,50,5 tasks took 10 minutes total. What was the average time per task?,2,10,5
Tasks take 7 minutes each. How long for 7 tasks?,49,7 tasks took 7 minutes total. What was the average time per task?,1,7,7
A process takes 44 hours per unit. How long for 44 units?,1936,44 units were made in 44 hours total. What was the time per unit?,1,44,44
A process takes 28 hours per unit. How long for 14 units?,392,14 units were made in 28 hours total. What was the time per unit?,2,28,14
Questions take 16 minutes each. How long for 16 questions?,256,16 questions took 16 minutes altogether. What was the average time?,1,16,16
Questions take 48 minutes each. How long for 16 questions?,768,16 questions took 48 minutes altogether. What was the average time?,3,48,16
A machine processes 42 items per hour. How many can it do in 6 hours?,252,A machine completed 42 items over 6 hours. What was its processing rate?,7,42,6
A machine processes 21 items per hour. How many can it do in 21 hours?,441,A machine completed 21 items over 21 hours. What was its processing rate?,1,21,21
Customers take 39 minutes each to serve. How long for 39 customers?,1521,39 customers were served in 39 minutes. What was the average service time?,1,39,39
Customers take 39 minutes each to serve. How long for 3 customers?,117,3 customers were served in 39 minutes. What was the average service time?,13,39,3
A team scores 9 points per game. How many points in 9 games?,81,A team scored 9 points over 9 games. What was their average?,1,9,9
A team scores 10 points per game. How many points in 5 games?,50,A team scored 10 points over 5 games. What was their average?,2,10,5
A player averages 32 rebounds per game. How many in 32 games?,1024,A player got 32 rebounds in 32 games. What was the average?,1,32,32
A player averages 26 rebounds per game. How many in 13 games?,338,A player got 26 rebounds in 13 games. What was the average?,2,26,13
Innings average 46 runs each. How many runs in 2 innings?,92,2 innings had 46 runs total. What was the average per inning?,23,46,2
Innings average 18 runs each. How many runs in 2 innings?,36,2 innings had 18 runs total. What was the average per inning?,9,18,2
A player makes 28 free throws per game. How many in 14 games?,392,A player made 28 free throws over 14 games. What was the average?,2,28,14
A player makes 26 free throws per game. How many in 13 games?,338,A player made 26 free throws over 13 games. What was the average?,2,26,13
A team allows 47 goals per match. How many in 47 matches?,2209,A team conceded 47 goals during 47 matches. What was the average?,1,47,47
A team allows 9 goals per match. How many in 3 matches?,27,A team conceded 9 goals during 3 matches. What was the average?,3,9,3
Matthew creates 4 paintings every month. How many paintings will be completed after 4 months?,16,Matthew completed 4 paintings over 4 months. How many paintings per month on average?,1,4,4
Matthew creates 20 paintings every month. How many paintings will be completed after 4 months?,80,Matthew completed 20 paintings over 4 months. How many paintings per month on average?,5,20,4
Each sculpture requires 42 pounds of clay. How much clay is needed to make 14 sculptures?,588,Lily used 42 pounds of clay for 14 sculptures. How much clay per sculpture?,3,42,14
Each sculpture requires 36 pounds of clay. How much clay is needed to make 18 sculptures?,648,Lily used 36 pounds of clay for 18 sculptures. How much clay per sculpture?,2,36,18
The dance troupe performs 2 shows in each city. How many shows will they perform on a 2-city tour?,4,The troupe performed 2 shows across 2 cities. What was their average shows per city?,1,2,2
The dance troupe performs 27 shows in each city. How many shows will they perform on a 27-city tour?,729,The troupe performed 27 shows across 27 cities. What was their average shows per city?,1,27,27
Each art class uses 39 paint tubes weekly. How many tubes are needed for 3 classes?,117,The art department has 39 paint tubes to share equally among 3 classes. How many per class?,13,39,3
Each art class uses 42 paint tubes weekly. How many tubes are needed for 21 classes?,882,The art department has 42 paint tubes to share equally among 21 classes. How many per class?,2,42,21
Henry writes 30 poetry lines daily. How many lines will be written in 3 consecutive days?,90,Henry wrote 30 poetry lines over 3 days. What was the average daily output?,10,30,3
Henry writes 10 poetry lines daily. How many lines will be written in 2 consecutive days?,20,Henry wrote 10 poetry lines over 2 days. What was the average daily output?,5,10,2
Each theater seat needs 46 yards of fabric. How much fabric is required for 23 seats?,1058,The theater used 46 yards of fabric for 23 seats. How much fabric per seat?,2,46,23
Each theater seat needs 10 yards of fabric. How much fabric is required for 2 seats?,20,The theater used 10 yards of fabric for 2 seats. How much fabric per seat?,5,10,2
The band sells 42 albums per concert. How many albums will they sell at 7 concerts?,294,The band sold 42 albums over 7 concerts. What was their average sales per concert?,6,42,7
The band sells 45 albums per concert. How many albums will they sell at 15 concerts?,675,The band sold 45 albums over 15 concerts. What was their average sales per concert?,3,45,15
Each mosaic tile covers 44 square inches. How much area can 22 tiles cover?,968,Emma covered 44 square inches with 22 tiles. What was the average coverage per tile?,2,44,22
Each mosaic tile covers 21 square inches. How much area can 7 tiles cover?,147,Emma covered 21 square inches with 7 tiles. What was the average coverage per tile?,3,21,7
The film crew shoots 11 scenes daily. How many scenes will they capture in 11 days?,121,The crew shot 11 scenes over 11 days. What was their average daily scenes?,1,11,11
The film crew shoots 36 scenes daily. How many scenes will they capture in 36 days?,1296,The crew shot 36 scenes over 36 days. What was their average daily scenes?,1,36,36
Each jewelry box holds 48 rings. How many rings can be stored in 8 boxes?,384,Nathan has 48 rings to distribute equally among 8 boxes. How many rings per box?,6,48,8
Each jewelry box holds 48 rings. How many rings can be stored in 24 boxes?,1152,Nathan has 48 rings to distribute equally among 24 boxes. How many rings per box?,2,48,24
The beehive produces 12 ounces of honey daily. What will be the total production after 4 days?,48,The hive produced 12 ounces of honey over 4 days. What was the average daily yield?,3,12,4
The beehive produces 48 ounces of honey daily. What will be the total production after 48 days?,2304,The hive produced 48 ounces of honey over 48 days. What was the average daily yield?,1,48,48
Each rainforest tree hosts 30 epiphyte species. How many species would be found on 30 trees?,900,Researchers found 30 epiphyte species on 30 trees. What was the average per tree?,1,30,30
Each rainforest tree hosts 23 epiphyte species. How many species would be found on 23 trees?,529,Researchers found 23 epiphyte species on 23 trees. What was the average per tree?,1,23,23
The volcano erupts 30 tons of ash hourly. How much ash will be ejected in 5 hours?,150,The volcano released 30 tons of ash over 5 hours. What was the hourly eruption rate?,6,30,5
The volcano erupts 30 tons of ash hourly. How much ash will be ejected in 30 hours?,900,The volcano released 30 tons of ash over 30 hours. What was the hourly eruption rate?,1,30,30
Each tide pool contains 40 hermit crabs. How many crabs would be in 40 pools?,1600,Scientists observed 40 hermit crabs distributed equally among 40 pools. What was the average per pool?,1,40,40
Each tide pool contains 14 hermit crabs. How many crabs would be in 7 pools?,98,Scientists observed 14 hermit crabs distributed equally among 7 pools. What was the average per pool?,2,14,7
The glacier recedes 24 inches daily. How much will it shrink after 3 days?,72,The glacier retreated 24 inches over 3 days. What was the average daily recession?,8,24,3
The glacier recedes 27 inches daily. How much will it shrink after 27 days?,729,The glacier retreated 27 inches over 27 days. What was the average daily recession?,1,27,27
The meteor shower produces 28 meteors hourly. How many might be seen during 28 hours?,784,Observers counted 28 meteors over 28 hours. What was the hourly rate?,1,28,28
The meteor shower produces 46 meteors hourly. How many might be seen during 46 hours?,2116,Observers counted 46 meteors over 46 hours. What was the hourly rate?,1,46,46
The sunflower grows 45 inches weekly. How tall will it be after 15 weeks?,675,The sunflower grew 45 inches over 15 weeks. What was the average weekly growth?,3,45,15
The sunflower grows 48 inches weekly. How tall will it be after 2 weeks?,96,The sunflower grew 48 inches over 2 weeks. What was the average weekly growth?,24,48,2
Each coral reef supports 14 fish species. How many species might exist across 14 reefs?,196,Marine biologists documented 14 species among 14 reefs. What was the average per reef?,1,14,14
Each coral reef supports 48 fish species. How many species might exist across 2 reefs?,96,Marine biologists documented 48 species among 2 reefs. What was the average per reef?,24,48,2
The thunderstorm produces 28 lightning flashes per minute. How many flashes in 28 minutes?,784,The storm had 28 lightning flashes over 28 minutes. What was the flash rate?,1,28,28
The thunderstorm produces 24 lightning flashes per minute. How many flashes in 2 minutes?,48,The storm had 24 lightning flashes over 2 minutes. What was the flash rate?,12,24,2
Each mushroom colony expands 27 square feet daily. How much area would 27 colonies cover?,729,The fungal network covered 27 square feet across 27 colonies. What was the average size?,1,27,27
Each mushroom colony expands 42 square feet daily. How much area would 42 colonies cover?,1764,The fungal network covered 42 square feet across 42 colonies. What was the average size?,1,42,42
The server handles 28 requests per second. How many requests in 7 seconds?,196,The server processed 28 requests over 7 seconds. What was the request rate?,4,28,7
The server handles 2 requests per second. How many requests in 2 seconds?,4,The server processed 2 requests over 2 seconds. What was the request rate?,1,2,2
Each smartphone has 16GB storage. How much total storage for 16 phones?,256,A shipment of 16 phones has 16GB total storage. What's the average per phone?,1,16,16
Each smartphone has 40GB storage. How much total storage for 5 phones?,200,A shipment of 5 phones has 40GB total storage. What's the average per phone?,8,40,5
The download speed is 39 MB per second. How much data will download in 13 seconds?,507,Lucas downloaded 39 MB over 13 seconds. What was the download speed?,3,39,13
The download speed is 4 MB per second. How much data will download in 2 seconds?,8,Lucas downloaded 4 MB over 2 seconds. What was the download speed?,2,4,2
Each robot assembles 18 components hourly. How many components can 9 robots assemble?,162,A team of 9 robots assembled 18 components. What was each robot's average output?,2,18,9
Each robot assembles 8 components hourly. How many components can 2 robots assemble?,16,A team of 2 robots assembled 8 components. What was each robot's average output?,4,8,2
Each server rack uses 48 kilowatts. What's the total power for 2 racks?,96,The data center used 48 kilowatts across 2 racks. What was the average per rack?,24,48,2
Each server rack uses 39 kilowatts. What's the total power for 39 racks?,1521,The data center used 39 kilowatts across 39 racks. What was the average per rack?,1,39,39
Each software update takes 30 minutes. How long will 10 updates take?,300,Installing 10 updates took 30 minutes total. What was the average time?,3,30,10
Each software update takes 8 minutes. How long will 4 updates take?,32,Installing 4 updates took 8 minutes total. What was the average time?,2,8,4
The fiber cable transmits 26 TB per hour. How much data in 13 hours?,338,The cable transferred 26 TB over 13 hours. What was the average rate?,2,26,13
The fiber cable transmits 34 TB per hour. How much data in 2 hours?,68,The cable transferred 34 TB over 2 hours. What was the average rate?,17,34,2
Each smartwatch tracks 37 health metrics. How many metrics for 37 watches?,1369,The system collected 37 metrics from 37 watches. What was the average per watch?,1,37,37
Each smartwatch tracks 20 health metrics. How many metrics for 2 watches?,40,The system collected 20 metrics from 2 watches. What was the average per watch?,10,20,2
The 3D printer makes 38 layers per minute. How many layers in 2 minutes?,76,The printer created 38 layers over 2 minutes. What was the average speed?,19,38,2
The 3D printer makes 20 layers per minute. How many layers in 20 minutes?,400,The printer created 20 layers over 20 minutes. What was the average speed?,1,20,20
Each VR headset needs 38 sensors. How many sensors for 2 headsets?,76,The VR setup uses 38 sensors across 2 headsets. What's the average per headset?,19,38,2
Each VR headset needs 28 sensors. How many sensors for 2 headsets?,56,The VR setup uses 28 sensors across 2 headsets. What's the average per headset?,14,28,2
The ferry transports 15 vehicles per trip. How many vehicles can it carry in 3 trips?,45,The ferry carried 15 vehicles over 3 trips. What was the average vehicles per trip?,5,15,3
The ferry transports 8 vehicles per trip. How many vehicles can it carry in 2 trips?,16,The ferry carried 8 vehicles over 2 trips. What was the average vehicles per trip?,4,8,2
Each airplane seat weighs 22 pounds. What is the total weight of 22 seats?,484,The cabin's 22 seats weigh 22 pounds total. What is the average seat weight?,1,22,22
Each airplane seat weighs 24 pounds. What is the total weight of 12 seats?,288,The cabin's 12 seats weigh 24 pounds total. What is the average seat weight?,2,24,12
A subway train arrives every 22 minutes. How many arrivals will there be in 2 minutes?,44,There were 22 arrivals during 2 minutes. What was the actual arrival frequency?,11,22,2
A subway train arrives every 32 minutes. How many arrivals will there be in 8 minutes?,256,There were 32 arrivals during 8 minutes. What was the actual arrival frequency?,4,32,8
Each scooter travels 11 miles per charge. How far can 11 scooters travel?,121,A fleet of 11 scooters traveled 11 miles total. What was the average distance per scooter?,1,11,11
Each scooter travels 33 miles per charge. How far can 33 scooters travel?,1089,A fleet of 33 scooters traveled 33 miles total. What was the average distance per scooter?,1,33,33
The cargo ship loads 46 containers hourly. How many containers can it load in 2 hours?,92,Dockworkers loaded 46 containers over 2 hours. What was their average hourly rate?,23,46,2
The cargo ship loads 6 containers hourly. How many containers can it load in 6 hours?,36,Dockworkers loaded 6 containers over 6 hours. What was their average hourly rate?,1,6,6
Each bicycle wheel requires 48 spokes. How many spokes are needed for 24 wheels?,1152,The shop used 48 spokes across 24 wheels. What was the average spokes per wheel?,2,48,24
Each bicycle wheel requires 8 spokes. How many spokes are needed for 2 wheels?,16,The shop used 8 spokes across 2 wheels. What was the average spokes per wheel?,4,8,2
The toll booth processes 40 cars per minute. How many cars can pass in 2 minutes?,80,The booth processed 40 cars over 2 minutes. What was its average processing rate?,20,40,2
The toll booth processes 30 cars per minute. How many cars can pass in 30 minutes?,900,The booth processed 30 cars over 30 minutes. What was its average processing rate?,1,30,30
Each train carriage has 44 seats. How many seats are in 22 carriages?,968,The train has 44 seats total across 22 carriages. What's the average per carriage?,2,44,22
Each train carriage has 36 seats. How many seats are in 4 carriages?,144,The train has 36 seats total across 4 carriages. What's the average per carriage?,9,36,4
The helicopter uses 27 gallons of fuel hourly. How much fuel will it use in 3 hours?,81,The helicopter consumed 27 gallons over 3 hours. What was its average hourly usage?,9,27,3
The helicopter uses 40 gallons of fuel hourly. How much fuel will it use in 2 hours?,80,The helicopter consumed 40 gallons over 2 hours. What was its average hourly usage?,20,40,2
Each electric vehicle charges at 46 kW. What's the total power needed for 2 vehicles?,92,The charging station provided 46 kW total to 2 vehicles. What was the average per vehicle?,23,46,2
Each electric vehicle charges at 35 kW. What's the total power needed for 5 vehicles?,175,The charging station provided 35 kW total to 5 vehicles. What was the average per vehicle?,7,35,5
The Mars rover travels 32 meters daily. How far will it go in 8 days?,256,The rover traveled 32 meters over 8 days. What was its average daily distance?,4,32,8
The Mars rover travels 16 meters daily. How far will it go in 4 days?,64,The rover traveled 16 meters over 4 days. What was its average daily distance?,4,16,4
Each astronaut consumes 30 pounds of food weekly. How much food is needed for 15 weeks?,450,The crew ate 30 pounds of food over 15 weeks. What was their average weekly consumption?,2,30,15
Each astronaut consumes 32 pounds of food weekly. How much food is needed for 4 weeks?,128,The crew ate 32 pounds of food over 4 weeks. What was their average weekly consumption?,8,32,4
The satellite completes 30 orbits daily. How many orbits in 3 days?,90,The satellite made 30 orbits in 3 days. What was its actual daily orbit count?,10,30,3
The satellite completes 16 orbits daily. How many orbits in 8 days?,128,The satellite made 16 orbits in 8 days. What was its actual daily orbit count?,2,16,8
Each spacewalk requires 36 hours of prep. How much prep time for 3 spacewalks?,108,Mission Control spent 36 hours prepping for 3 spacewalks. What was the average prep time?,12,36,3
Each spacewalk requires 48 hours of prep. How much prep time for 8 spacewalks?,384,Mission Control spent 48 hours prepping for 8 spacewalks. What was the average prep time?,6,48,8
The rocket burns 47 tons of fuel per minute. How much fuel will it use in 47 minutes?,2209,The rocket used 47 tons of fuel over 47 minutes. What was its average burn rate?,1,47,47
The rocket burns 29 tons of fuel per minute. How much fuel will it use in 29 minutes?,841,The rocket used 29 tons of fuel over 29 minutes. What was its average burn rate?,1,29,29
Each lunar module carries 48 instruments. How many instruments can 24 modules carry?,1152,Scientists deployed 48 instruments across 24 modules. What was the average per module?,2,48,24
Each lunar module carries 42 instruments. How many instruments can 2 modules carry?,84,Scientists deployed 42 instruments across 2 modules. What was the average per module?,21,42,2
The telescope captures 24 images per orbit. How many images in 3 orbits?,72,The telescope took 24 images during 3 orbits. What was its average imaging rate?,8,24,3
The telescope captures 42 images per orbit. How many images in 6 orbits?,252,The telescope took 42 images during 6 orbits. What was its average imaging rate?,7,42,6
Each asteroid sample weighs 12 grams. What is the total weight of 6 samples?,72,The mission collected 12 grams from 6 samples. What was the average sample weight?,2,12,6
Each asteroid sample weighs 44 grams. What is the total weight of 44 samples?,1936,The mission collected 44 grams from 44 samples. What was the average sample weight?,1,44,44
The spaceship's shield blocks 25 radiation units hourly. How much radiation can it block in 5 hours?,125,The shield blocked 25 units over 5 hours. What was its average protection rate?,5,25,5
The spaceship's shield blocks 24 radiation units hourly. How much radiation can it block in 8 hours?,192,The shield blocked 24 units over 8 hours. What was its average protection rate?,3,24,8
Each Mars transmission takes 6 minutes. How long will 3 transmissions take?,18,Mission Control spent 6 minutes on 3 transmissions. What was the average time per transmission?,2,6,3
Each Mars transmission takes 26 minutes. How long will 2 transmissions take?,52,Mission Control spent 26 minutes on 2 transmissions. What was the average time per transmission?,13,26,2
Each magic potion needs 12 dragon scales. How many scales for 2 potions?,24,The alchemist used 12 scales to make 2 potions. What was the average per potion?,6,12,2
Each magic potion needs 38 dragon scales. How many scales for 19 potions?,722,The alchemist used 38 scales to make 19 potions. What was the average per potion?,2,38,19
The dungeon has 36 traps per level. How many traps in 4 levels?,144,Adventurers found 36 traps across 4 levels. What was the average traps per level?,9,36,4
The dungeon has 36 traps per level. How many traps in 18 levels?,648,Adventurers found 36 traps across 18 levels. What was the average traps per level?,2,36,18
Each spell costs 3 mana points. How much mana to cast 3 spells?,9,The wizard spent 3 mana on 3 spells. What was the average cost per spell?,1,3,3
Each spell costs 39 mana points. How much mana to cast 3 spells?,117,The wizard spent 39 mana on 3 spells. What was the average cost per spell?,13,39,3
The character earns 45 XP per quest. How much XP from 3 quests?,135,The character gained 45 XP over 3 quests. What was the average XP per quest?,15,45,3
The character earns 9 XP per quest. How much XP from 3 quests?,27,The character gained 9 XP over 3 quests. What was the average XP per quest?,3,9,3
Each treasure chest holds 16 coins. How many coins in 4 chests?,64,The party found 16 coins distributed among 4 chests. What was the average per chest?,4,16,4
Each treasure chest holds 17 coins. How many coins in 17 chests?,289,The party found 17 coins distributed among 17 chests. What was the average per chest?,1,17,17
The castle has 50 passages per tower. How many passages in 2 towers?,100,Explorers mapped 50 passages across 2 towers. What was the average per tower?,25,50,2
The castle has 40 passages per tower. How many passages in 5 towers?,200,Explorers mapped 40 passages across 5 towers. What was the average per tower?,8,40,5
Each monster drops 44 items. How many items from 11 monsters?,484,Defeating 11 monsters yielded 44 items total. What was the average drop?,4,44,11
Each monster drops 47 items. How many items from 47 monsters?,2209,Defeating 47 monsters yielded 47 items total. What was the average drop?,1,47,47
The spellbook has 19 pages per chapter. How many pages in 19 chapters?,361,The 19-chapter spellbook has 19 pages total. How many pages per chapter?,1,19,19
The spellbook has 40 pages per chapter. How many pages in 10 chapters?,400,The 10-chapter spellbook has 40 pages total. How many pages per chapter?,4,40,10
Each puzzle takes 26 moves to solve. How many moves for 13 puzzles?,338,Thomas made 26 moves total across 13 puzzles. What was the average per puzzle?,2,26,13
Each puzzle takes 45 moves to solve. How many moves for 5 puzzles?,225,Thomas made 45 moves total across 5 puzzles. What was the average per puzzle?,9,45,5
