clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
The art department has 42 paint tubes to share equally among 21 classes. How many per class?,2,The art department has 18 paint tubes to share equally among 18 classes. How many per class?,1,42,21,18,18
Henry wrote 30 poetry lines over 3 days. What was the average daily output?,10,Henry wrote 24 poetry lines over 4 days. What was the average daily output?,6,30,3,24,4
Henry wrote 10 poetry lines over 2 days. What was the average daily output?,5,Henry wrote 48 poetry lines over 24 days. What was the average daily output?,2,10,2,48,24
The theater used 46 yards of fabric for 23 seats. How much fabric per seat?,2,The theater used 30 yards of fabric for 30 seats. How much fabric per seat?,1,46,23,30,30
The theater used 10 yards of fabric for 2 seats. How much fabric per seat?,5,The theater used 9 yards of fabric for 3 seats. How much fabric per seat?,3,10,2,9,3
The band sold 42 albums over 7 concerts. What was their average sales per concert?,6,The band sold 44 albums over 4 concerts. What was their average sales per concert?,11,42,7,44,4
The band sold 45 albums over 15 concerts. What was their average sales per concert?,3,The band sold 19 albums over 19 concerts. What was their average sales per concert?,1,45,15,19,19
Emma covered 44 square inches with 22 tiles. What was the average coverage per tile?,2,Emma covered 12 square inches with 4 tiles. What was the average coverage per tile?,3,44,22,12,4
Emma covered 21 square inches with 7 tiles. What was the average coverage per tile?,3,Emma covered 11 square inches with 11 tiles. What was the average coverage per tile?,1,21,7,11,11
The crew shot 11 scenes over 11 days. What was their average daily scenes?,1,The crew shot 25 scenes over 5 days. What was their average daily scenes?,5,11,11,25,5
The crew shot 36 scenes over 36 days. What was their average daily scenes?,1,The crew shot 16 scenes over 2 days. What was their average daily scenes?,8,36,36,16,2
Nathan has 48 rings to distribute equally among 8 boxes. How many rings per box?,6,Nathan has 26 rings to distribute equally among 13 boxes. How many rings per box?,2,48,8,26,13
Nathan has 48 rings to distribute equally among 24 boxes. How many rings per box?,2,Nathan has 50 rings to distribute equally among 2 boxes. How many rings per box?,25,48,24,50,2
The hive produced 12 ounces of honey over 4 days. What was the average daily yield?,3,The hive produced 38 ounces of honey over 38 days. What was the average daily yield?,1,12,4,38,38
The hive produced 48 ounces of honey over 48 days. What was the average daily yield?,1,The hive produced 48 ounces of honey over 6 days. What was the average daily yield?,8,48,48,48,6
Researchers found 30 epiphyte species on 30 trees. What was the average per tree?,1,Researchers found 27 epiphyte species on 9 trees. What was the average per tree?,3,30,30,27,9
Researchers found 23 epiphyte species on 23 trees. What was the average per tree?,1,Researchers found 36 epiphyte species on 12 trees. What was the average per tree?,3,23,23,36,12
The volcano released 30 tons of ash over 5 hours. What was the hourly eruption rate?,6,The volcano released 40 tons of ash over 40 hours. What was the hourly eruption rate?,1,30,5,40,40
The volcano released 30 tons of ash over 30 hours. What was the hourly eruption rate?,1,The volcano released 12 tons of ash over 2 hours. What was the hourly eruption rate?,6,30,30,12,2
Scientists observed 40 hermit crabs distributed equally among 40 pools. What was the average per pool?,1,Scientists observed 48 hermit crabs distributed equally among 6 pools. What was the average per pool?,8,40,40,48,6
Scientists observed 14 hermit crabs distributed equally among 7 pools. What was the average per pool?,2,Scientists observed 12 hermit crabs distributed equally among 2 pools. What was the average per pool?,6,14,7,12,2
The glacier retreated 24 inches over 3 days. What was the average daily recession?,8,The glacier retreated 44 inches over 11 days. What was the average daily recession?,4,24,3,44,11
The glacier retreated 27 inches over 27 days. What was the average daily recession?,1,The glacier retreated 26 inches over 2 days. What was the average daily recession?,13,27,27,26,2
Observers counted 28 meteors over 28 hours. What was the hourly rate?,1,Observers counted 40 meteors over 4 hours. What was the hourly rate?,10,28,28,40,4
Observers counted 46 meteors over 46 hours. What was the hourly rate?,1,Observers counted 30 meteors over 6 hours. What was the hourly rate?,5,46,46,30,6
The sunflower grew 45 inches over 15 weeks. What was the average weekly growth?,3,The sunflower grew 4 inches over 2 weeks. What was the average weekly growth?,2,45,15,4,2
The sunflower grew 48 inches over 2 weeks. What was the average weekly growth?,24,The sunflower grew 30 inches over 5 weeks. What was the average weekly growth?,6,48,2,30,5
Marine biologists documented 14 species among 14 reefs. What was the average per reef?,1,Marine biologists documented 15 species among 3 reefs. What was the average per reef?,5,14,14,15,3
Marine biologists documented 48 species among 2 reefs. What was the average per reef?,24,Marine biologists documented 18 species among 18 reefs. What was the average per reef?,1,48,2,18,18
The storm had 28 lightning flashes over 28 minutes. What was the flash rate?,1,The storm had 50 lightning flashes over 10 minutes. What was the flash rate?,5,28,28,50,10
The storm had 24 lightning flashes over 2 minutes. What was the flash rate?,12,The storm had 33 lightning flashes over 3 minutes. What was the flash rate?,11,24,2,33,3
The fungal network covered 27 square feet across 27 colonies. What was the average size?,1,The fungal network covered 44 square feet across 11 colonies. What was the average size?,4,27,27,44,11
The fungal network covered 42 square feet across 42 colonies. What was the average size?,1,The fungal network covered 39 square feet across 3 colonies. What was the average size?,13,42,42,39,3
The server processed 28 requests over 7 seconds. What was the request rate?,4,The server processed 8 requests over 8 seconds. What was the request rate?,1,28,7,8,8
The server processed 2 requests over 2 seconds. What was the request rate?,1,The server processed 32 requests over 16 seconds. What was the request rate?,2,2,2,32,16
A shipment of 16 phones has 16GB total storage. What's the average per phone?,1,A shipment of 2 phones has 20GB total storage. What's the average per phone?,10,16,16,20,2
A shipment of 5 phones has 40GB total storage. What's the average per phone?,8,A shipment of 2 phones has 48GB total storage. What's the average per phone?,24,40,5,48,2
Lucas downloaded 39 MB over 13 seconds. What was the download speed?,3,Lucas downloaded 48 MB over 4 seconds. What was the download speed?,12,39,13,48,4
Lucas downloaded 4 MB over 2 seconds. What was the download speed?,2,Lucas downloaded 15 MB over 5 seconds. What was the download speed?,3,4,2,15,5
A team of 9 robots assembled 18 components. What was each robot's average output?,2,A team of 46 robots assembled 46 components. What was each robot's average output?,1,18,9,46,46
A team of 2 robots assembled 8 components. What was each robot's average output?,4,A team of 7 robots assembled 35 components. What was each robot's average output?,5,8,2,35,7
The data center used 48 kilowatts across 2 racks. What was the average per rack?,24,The data center used 18 kilowatts across 6 racks. What was the average per rack?,3,48,2,18,6
The data center used 39 kilowatts across 39 racks. What was the average per rack?,1,The data center used 16 kilowatts across 8 racks. What was the average per rack?,2,39,39,16,8
Installing 10 updates took 30 minutes total. What was the average time?,3,Installing 5 updates took 35 minutes total. What was the average time?,7,30,10,35,5
Installing 4 updates took 8 minutes total. What was the average time?,2,Installing 2 updates took 24 minutes total. What was the average time?,12,8,4,24,2
The cable transferred 26 TB over 13 hours. What was the average rate?,2,The cable transferred 14 TB over 14 hours. What was the average rate?,1,26,13,14,14
The cable transferred 34 TB over 2 hours. What was the average rate?,17,The cable transferred 48 TB over 4 hours. What was the average rate?,12,34,2,48,4
The system collected 37 metrics from 37 watches. What was the average per watch?,1,The system collected 25 metrics from 5 watches. What was the average per watch?,5,37,37,25,5
The system collected 20 metrics from 2 watches. What was the average per watch?,10,The system collected 20 metrics from 20 watches. What was the average per watch?,1,20,2,20,20
The printer created 38 layers over 2 minutes. What was the average speed?,19,The printer created 6 layers over 3 minutes. What was the average speed?,2,38,2,6,3
The printer created 20 layers over 20 minutes. What was the average speed?,1,The printer created 32 layers over 16 minutes. What was the average speed?,2,20,20,32,16
The VR setup uses 38 sensors across 2 headsets. What's the average per headset?,19,The VR setup uses 26 sensors across 13 headsets. What's the average per headset?,2,38,2,26,13
The VR setup uses 28 sensors across 2 headsets. What's the average per headset?,14,The VR setup uses 19 sensors across 19 headsets. What's the average per headset?,1,28,2,19,19
The ferry carried 15 vehicles over 3 trips. What was the average vehicles per trip?,5,The ferry carried 36 vehicles over 3 trips. What was the average vehicles per trip?,12,15,3,36,3
The ferry carried 8 vehicles over 2 trips. What was the average vehicles per trip?,4,The ferry carried 42 vehicles over 3 trips. What was the average vehicles per trip?,14,8,2,42,3
The cabin's 22 seats weigh 22 pounds total. What is the average seat weight?,1,The cabin's 10 seats weigh 30 pounds total. What is the average seat weight?,3,22,22,30,10
The cabin's 12 seats weigh 24 pounds total. What is the average seat weight?,2,The cabin's 8 seats weigh 24 pounds total. What is the average seat weight?,3,24,12,24,8
There were 22 arrivals during 2 minutes. What was the actual arrival frequency?,11,There were 36 arrivals during 18 minutes. What was the actual arrival frequency?,2,22,2,36,18
There were 32 arrivals during 8 minutes. What was the actual arrival frequency?,4,There were 28 arrivals during 14 minutes. What was the actual arrival frequency?,2,32,8,28,14
A fleet of 11 scooters traveled 11 miles total. What was the average distance per scooter?,1,A fleet of 14 scooters traveled 28 miles total. What was the average distance per scooter?,2,11,11,28,14
A fleet of 33 scooters traveled 33 miles total. What was the average distance per scooter?,1,A fleet of 22 scooters traveled 44 miles total. What was the average distance per scooter?,2,33,33,44,22
Dockworkers loaded 46 containers over 2 hours. What was their average hourly rate?,23,Dockworkers loaded 32 containers over 8 hours. What was their average hourly rate?,4,46,2,32,8
Dockworkers loaded 6 containers over 6 hours. What was their average hourly rate?,1,Dockworkers loaded 27 containers over 9 hours. What was their average hourly rate?,3,6,6,27,9
The shop used 48 spokes across 24 wheels. What was the average spokes per wheel?,2,The shop used 27 spokes across 27 wheels. What was the average spokes per wheel?,1,48,24,27,27
The shop used 8 spokes across 2 wheels. What was the average spokes per wheel?,4,The shop used 15 spokes across 3 wheels. What was the average spokes per wheel?,5,8,2,15,3
The booth processed 40 cars over 2 minutes. What was its average processing rate?,20,The booth processed 33 cars over 11 minutes. What was its average processing rate?,3,40,2,33,11
The booth processed 30 cars over 30 minutes. What was its average processing rate?,1,The booth processed 40 cars over 2 minutes. What was its average processing rate?,20,30,30,40,2
The train has 44 seats total across 22 carriages. What's the average per carriage?,2,The train has 15 seats total across 15 carriages. What's the average per carriage?,1,44,22,15,15
The train has 36 seats total across 4 carriages. What's the average per carriage?,9,The train has 48 seats total across 16 carriages. What's the average per carriage?,3,36,4,48,16
The helicopter consumed 27 gallons over 3 hours. What was its average hourly usage?,9,The helicopter consumed 8 gallons over 8 hours. What was its average hourly usage?,1,27,3,8,8
The helicopter consumed 40 gallons over 2 hours. What was its average hourly usage?,20,The helicopter consumed 2 gallons over 2 hours. What was its average hourly usage?,1,40,2,2,2
The charging station provided 46 kW total to 2 vehicles. What was the average per vehicle?,23,The charging station provided 22 kW total to 11 vehicles. What was the average per vehicle?,2,46,2,22,11
The charging station provided 35 kW total to 5 vehicles. What was the average per vehicle?,7,The charging station provided 39 kW total to 39 vehicles. What was the average per vehicle?,1,35,5,39,39
The rover traveled 32 meters over 8 days. What was its average daily distance?,4,The rover traveled 30 meters over 30 days. What was its average daily distance?,1,32,8,30,30
The rover traveled 16 meters over 4 days. What was its average daily distance?,4,The rover traveled 30 meters over 5 days. What was its average daily distance?,6,16,4,30,5
The crew ate 30 pounds of food over 15 weeks. What was their average weekly consumption?,2,The crew ate 37 pounds of food over 37 weeks. What was their average weekly consumption?,1,30,15,37,37
The crew ate 32 pounds of food over 4 weeks. What was their average weekly consumption?,8,The crew ate 36 pounds of food over 36 weeks. What was their average weekly consumption?,1,32,4,36,36
The satellite made 30 orbits in 3 days. What was its actual daily orbit count?,10,The satellite made 48 orbits in 2 days. What was its actual daily orbit count?,24,30,3,48,2
The satellite made 16 orbits in 8 days. What was its actual daily orbit count?,2,The satellite made 22 orbits in 2 days. What was its actual daily orbit count?,11,16,8,22,2
Mission Control spent 36 hours prepping for 3 spacewalks. What was the average prep time?,12,Mission Control spent 20 hours prepping for 10 spacewalks. What was the average prep time?,2,36,3,20,10
Mission Control spent 48 hours prepping for 8 spacewalks. What was the average prep time?,6,Mission Control spent 30 hours prepping for 6 spacewalks. What was the average prep time?,5,48,8,30,6
The rocket used 47 tons of fuel over 47 minutes. What was its average burn rate?,1,The rocket used 30 tons of fuel over 6 minutes. What was its average burn rate?,5,47,47,30,6
The rocket used 29 tons of fuel over 29 minutes. What was its average burn rate?,1,The rocket used 24 tons of fuel over 2 minutes. What was its average burn rate?,12,29,29,24,2
Scientists deployed 48 instruments across 24 modules. What was the average per module?,2,Scientists deployed 32 instruments across 2 modules. What was the average per module?,16,48,24,32,2
Scientists deployed 42 instruments across 2 modules. What was the average per module?,21,Scientists deployed 40 instruments across 5 modules. What was the average per module?,8,42,2,40,5
The telescope took 24 images during 3 orbits. What was its average imaging rate?,8,The telescope took 44 images during 22 orbits. What was its average imaging rate?,2,24,3,44,22
The telescope took 42 images during 6 orbits. What was its average imaging rate?,7,The telescope took 20 images during 5 orbits. What was its average imaging rate?,4,42,6,20,5
The mission collected 12 grams from 6 samples. What was the average sample weight?,2,The mission collected 28 grams from 28 samples. What was the average sample weight?,1,12,6,28,28
The mission collected 44 grams from 44 samples. What was the average sample weight?,1,The mission collected 32 grams from 16 samples. What was the average sample weight?,2,44,44,32,16
The shield blocked 25 units over 5 hours. What was its average protection rate?,5,The shield blocked 30 units over 15 hours. What was its average protection rate?,2,25,5,30,15
The shield blocked 24 units over 8 hours. What was its average protection rate?,3,The shield blocked 22 units over 11 hours. What was its average protection rate?,2,24,8,22,11
Mission Control spent 6 minutes on 3 transmissions. What was the average time per transmission?,2,Mission Control spent 8 minutes on 8 transmissions. What was the average time per transmission?,1,6,3,8,8
Mission Control spent 26 minutes on 2 transmissions. What was the average time per transmission?,13,Mission Control spent 42 minutes on 6 transmissions. What was the average time per transmission?,7,26,2,42,6
The alchemist used 12 scales to make 2 potions. What was the average per potion?,6,The alchemist used 40 scales to make 20 potions. What was the average per potion?,2,12,2,40,20
The alchemist used 38 scales to make 19 potions. What was the average per potion?,2,The alchemist used 48 scales to make 16 potions. What was the average per potion?,3,38,19,48,16
Adventurers found 36 traps across 4 levels. What was the average traps per level?,9,Adventurers found 43 traps across 43 levels. What was the average traps per level?,1,36,4,43,43
Adventurers found 36 traps across 18 levels. What was the average traps per level?,2,Adventurers found 26 traps across 2 levels. What was the average traps per level?,13,36,18,26,2
The wizard spent 3 mana on 3 spells. What was the average cost per spell?,1,The wizard spent 15 mana on 3 spells. What was the average cost per spell?,5,3,3,15,3
The wizard spent 39 mana on 3 spells. What was the average cost per spell?,13,The wizard spent 24 mana on 6 spells. What was the average cost per spell?,4,39,3,24,6
The character gained 45 XP over 3 quests. What was the average XP per quest?,15,The character gained 41 XP over 41 quests. What was the average XP per quest?,1,45,3,41,41
The character gained 9 XP over 3 quests. What was the average XP per quest?,3,The character gained 48 XP over 3 quests. What was the average XP per quest?,16,9,3,48,3
The party found 16 coins distributed among 4 chests. What was the average per chest?,4,The party found 40 coins distributed among 20 chests. What was the average per chest?,2,16,4,40,20
