clean_prompt,clean_gt_answer,corrupted_prompt,corrupted_gt_answer,clean_operand1,clean_operand2,corrupted_operand1,corrupted_operand2
Henry finds 47 erasers in their desk. They discover 5 more erasers in their bag. How many erasers does Henry have now?,52,Henry finds 4 erasers in their desk. They discover 3 more erasers in their bag. How many erasers does Henry have now?,7,47,5,4,3
Henry finds 16 erasers in their desk. They discover 13 more erasers in their bag. How many erasers does Henry have now?,29,Henry finds 20 erasers in their desk. They discover 3 more erasers in their bag. How many erasers does Henry have now?,23,16,13,20,3
Nora has 16 markers. Their art teacher adds 14 more markers to their collection. How many markers does Nora have now?,30,Nora has 19 markers. Their art teacher adds 15 more markers to their collection. How many markers does Nora have now?,34,16,14,19,15
Nora has 42 markers. Their art teacher adds 24 more markers to their collection. How many markers does Nora have now?,66,Nora has 24 markers. Their art teacher adds 7 more markers to their collection. How many markers does Nora have now?,31,42,24,24,7
Chloe receives 19 stickers for good behavior. The principal awards them 3 more stickers. How many stickers does Chloe have now?,22,Chloe receives 40 stickers for good behavior. The principal awards them 11 more stickers. How many stickers does Chloe have now?,51,19,3,40,11
Chloe receives 36 stickers for good behavior. The principal awards them 16 more stickers. How many stickers does Chloe have now?,52,Chloe receives 12 stickers for good behavior. The principal awards them 8 more stickers. How many stickers does Chloe have now?,20,36,16,12,8
Jacob owns 19 toy cars. Their birthday gifts include 18 more toy cars. How many toy cars does Jacob have now?,37,Jacob owns 16 toy cars. Their birthday gifts include 11 more toy cars. How many toy cars does Jacob have now?,27,19,18,16,11
Jacob owns 22 toy cars. Their birthday gifts include 2 more toy cars. How many toy cars does Jacob have now?,24,Jacob owns 27 toy cars. Their birthday gifts include 9 more toy cars. How many toy cars does Jacob have now?,36,22,2,27,9
William has 15 building blocks. Their sibling contributes 10 more blocks to their tower. How many blocks does William have now?,25,William has 47 building blocks. Their sibling contributes 21 more blocks to their tower. How many blocks does William have now?,68,15,10,47,21
William has 15 building blocks. Their sibling contributes 11 more blocks to their tower. How many blocks does William have now?,26,William has 33 building blocks. Their sibling contributes 26 more blocks to their tower. How many blocks does William have now?,59,15,11,33,26
Nathan collects 43 action figures. A new series releases 30 more figures. How many action figures does Nathan have now?,73,Nathan collects 11 action figures. A new series releases 5 more figures. How many action figures does Nathan have now?,16,43,30,11,5
Nathan collects 10 action figures. A new series releases 4 more figures. How many action figures does Nathan have now?,14,Nathan collects 49 action figures. A new series releases 36 more figures. How many action figures does Nathan have now?,85,10,4,49,36
Grace has 18 board games. Their family acquires 14 more board games. How many board games does Grace have now?,32,Grace has 39 board games. Their family acquires 26 more board games. How many board games does Grace have now?,65,18,14,39,26
Grace has 25 board games. Their family acquires 8 more board games. How many board games does Grace have now?,33,Grace has 10 board games. Their family acquires 9 more board games. How many board games does Grace have now?,19,25,8,10,9
Lily owns 7 stuffed animals. A relative sends them 1 more stuffed animals. How many stuffed animals does Lily have now?,8,Lily owns 9 stuffed animals. A relative sends them 3 more stuffed animals. How many stuffed animals does Lily have now?,12,7,1,9,3
Lily owns 42 stuffed animals. A relative sends them 11 more stuffed animals. How many stuffed animals does Lily have now?,53,Lily owns 45 stuffed animals. A relative sends them 28 more stuffed animals. How many stuffed animals does Lily have now?,73,42,11,45,28
Ella finds 6 seashells at the beach. The next day they find 4 more seashells. How many seashells does Ella have now?,10,Ella finds 26 seashells at the beach. The next day they find 20 more seashells. How many seashells does Ella have now?,46,6,4,26,20
Ella finds 31 seashells at the beach. The next day they find 17 more seashells. How many seashells does Ella have now?,48,Ella finds 18 seashells at the beach. The next day they find 1 more seashells. How many seashells does Ella have now?,19,31,17,18,1
"Chloe counts 48 birds in the morning. By afternoon, 8 more birds arrive. How many birds does Chloe see now?",56,"Chloe counts 45 birds in the morning. By afternoon, 35 more birds arrive. How many birds does Chloe see now?",80,48,8,45,35
"Chloe counts 50 birds in the morning. By afternoon, 18 more birds arrive. How many birds does Chloe see now?",68,"Chloe counts 43 birds in the morning. By afternoon, 22 more birds arrive. How many birds does Chloe see now?",65,50,18,43,22
"Olivia plants 20 flowers. After a week, 14 more flowers bloom. How many flowers does Olivia have now?",34,"Olivia plants 34 flowers. After a week, 12 more flowers bloom. How many flowers does Olivia have now?",46,20,14,34,12
"Olivia plants 34 flowers. After a week, 7 more flowers bloom. How many flowers does Olivia have now?",41,"Olivia plants 42 flowers. After a week, 20 more flowers bloom. How many flowers does Olivia have now?",62,34,7,42,20
Matthew catches 42 fireflies. Their jar attracts 33 more fireflies. How many fireflies does Matthew have now?,75,Matthew catches 40 fireflies. Their jar attracts 13 more fireflies. How many fireflies does Matthew have now?,53,42,33,40,13
Matthew catches 11 fireflies. Their jar attracts 6 more fireflies. How many fireflies does Matthew have now?,17,Matthew catches 50 fireflies. Their jar attracts 11 more fireflies. How many fireflies does Matthew have now?,61,11,6,50,11
Grace collects 35 acorns. Their friend finds 1 more acorns for them. How many acorns does Grace have now?,36,Grace collects 40 acorns. Their friend finds 21 more acorns for them. How many acorns does Grace have now?,61,35,1,40,21
Grace collects 33 acorns. Their friend finds 2 more acorns for them. How many acorns does Grace have now?,35,Grace collects 9 acorns. Their friend finds 6 more acorns for them. How many acorns does Grace have now?,15,33,2,9,6
Nathan bakes 21 cookies. Their sibling helps bake 8 more cookies. How many cookies does Nathan have now?,29,Nathan bakes 5 cookies. Their sibling helps bake 2 more cookies. How many cookies does Nathan have now?,7,21,8,5,2
Nathan bakes 38 cookies. Their sibling helps bake 6 more cookies. How many cookies does Nathan have now?,44,Nathan bakes 7 cookies. Their sibling helps bake 6 more cookies. How many cookies does Nathan have now?,13,38,6,7,6
Lily buys 6 donuts. The bakery throws in 5 extra donuts. How many donuts does Lily have now?,11,Lily buys 10 donuts. The bakery throws in 3 extra donuts. How many donuts does Lily have now?,13,6,5,10,3
Lily buys 44 donuts. The bakery throws in 31 extra donuts. How many donuts does Lily have now?,75,Lily buys 37 donuts. The bakery throws in 11 extra donuts. How many donuts does Lily have now?,48,44,31,37,11
Alexander makes 35 sandwiches. Their parent makes 28 additional sandwiches. How many sandwiches does Alexander have now?,63,Alexander makes 15 sandwiches. Their parent makes 9 additional sandwiches. How many sandwiches does Alexander have now?,24,35,28,15,9
Alexander makes 50 sandwiches. Their parent makes 47 additional sandwiches. How many sandwiches does Alexander have now?,97,Alexander makes 46 sandwiches. Their parent makes 13 additional sandwiches. How many sandwiches does Alexander have now?,59,50,47,46,13
Lucas has 21 candies in their bag. Their teacher gives them 13 more candies. How many candies does Lucas have now?,34,Lucas has 44 candies in their bag. Their teacher gives them 42 more candies. How many candies does Lucas have now?,86,21,13,44,42
Lucas has 25 candies in their bag. Their teacher gives them 15 more candies. How many candies does Lucas have now?,40,Lucas has 35 candies in their bag. Their teacher gives them 29 more candies. How many candies does Lucas have now?,64,25,15,35,29
Olivia buys 39 juice boxes. The store adds 15 bonus juice boxes. How many juice boxes does Olivia have now?,54,Olivia buys 47 juice boxes. The store adds 41 bonus juice boxes. How many juice boxes does Olivia have now?,88,39,15,47,41
Olivia buys 6 juice boxes. The store adds 1 bonus juice boxes. How many juice boxes does Olivia have now?,7,Olivia buys 23 juice boxes. The store adds 3 bonus juice boxes. How many juice boxes does Olivia have now?,26,6,1,23,3
Michael has 17 baseballs. Their coach provides 9 more baseballs. How many baseballs does Michael have now?,26,Michael has 44 baseballs. Their coach provides 32 more baseballs. How many baseballs does Michael have now?,76,17,9,44,32
Michael has 10 baseballs. Their coach provides 8 more baseballs. How many baseballs does Michael have now?,18,Michael has 17 baseballs. Their coach provides 16 more baseballs. How many baseballs does Michael have now?,33,10,8,17,16
Zoe owns 28 tennis balls. The club gives them 7 new tennis balls. How many tennis balls does Zoe have now?,35,Zoe owns 8 tennis balls. The club gives them 1 new tennis balls. How many tennis balls does Zoe have now?,9,28,7,8,1
Zoe owns 44 tennis balls. The club gives them 28 new tennis balls. How many tennis balls does Zoe have now?,72,Zoe owns 24 tennis balls. The club gives them 14 new tennis balls. How many tennis balls does Zoe have now?,38,44,28,24,14
Mia has 31 basketballs. Their team receives 28 additional basketballs. How many basketballs does Mia have now?,59,Mia has 48 basketballs. Their team receives 4 additional basketballs. How many basketballs does Mia have now?,52,31,28,48,4
Mia has 45 basketballs. Their team receives 42 additional basketballs. How many basketballs does Mia have now?,87,Mia has 43 basketballs. Their team receives 7 additional basketballs. How many basketballs does Mia have now?,50,45,42,43,7
Emma brings 27 soccer balls to practice. The league contributes 24 more soccer balls. How many soccer balls does Emma have now?,51,Emma brings 17 soccer balls to practice. The league contributes 7 more soccer balls. How many soccer balls does Emma have now?,24,27,24,17,7
Emma brings 14 soccer balls to practice. The league contributes 9 more soccer balls. How many soccer balls does Emma have now?,23,Emma brings 30 soccer balls to practice. The league contributes 5 more soccer balls. How many soccer balls does Emma have now?,35,14,9,30,5
Mia has 13 hockey pucks. Their teammate shares 5 more hockey pucks. How many hockey pucks does Mia have now?,18,Mia has 31 hockey pucks. Their teammate shares 8 more hockey pucks. How many hockey pucks does Mia have now?,39,13,5,31,8
Mia has 37 hockey pucks. Their teammate shares 7 more hockey pucks. How many hockey pucks does Mia have now?,44,Mia has 5 hockey pucks. Their teammate shares 1 more hockey pucks. How many hockey pucks does Mia have now?,6,37,7,5,1
William has 50 crayons. Their art set includes 16 more crayons. How many crayons does William have now?,66,William has 12 crayons. Their art set includes 7 more crayons. How many crayons does William have now?,19,50,16,12,7
William has 33 crayons. Their art set includes 31 more crayons. How many crayons does William have now?,64,William has 15 crayons. Their art set includes 14 more crayons. How many crayons does William have now?,29,33,31,15,14
Jacob owns 26 paintbrushes. Their teacher gives them 1 new paintbrushes. How many paintbrushes does Jacob have now?,27,Jacob owns 26 paintbrushes. Their teacher gives them 9 new paintbrushes. How many paintbrushes does Jacob have now?,35,26,1,26,9
Jacob owns 31 paintbrushes. Their teacher gives them 10 new paintbrushes. How many paintbrushes does Jacob have now?,41,Jacob owns 29 paintbrushes. Their teacher gives them 23 new paintbrushes. How many paintbrushes does Jacob have now?,52,31,10,29,23
Harper has 37 sketchbooks. Their parents buy them 32 more sketchbooks. How many sketchbooks does Harper have now?,69,Harper has 11 sketchbooks. Their parents buy them 4 more sketchbooks. How many sketchbooks does Harper have now?,15,37,32,11,4
Harper has 20 sketchbooks. Their parents buy them 7 more sketchbooks. How many sketchbooks does Harper have now?,27,Harper has 49 sketchbooks. Their parents buy them 21 more sketchbooks. How many sketchbooks does Harper have now?,70,20,7,49,21
Emma collects 5 colored pencils. A new set contains 4 more colored pencils. How many colored pencils does Emma have now?,9,Emma collects 34 colored pencils. A new set contains 11 more colored pencils. How many colored pencils does Emma have now?,45,5,4,34,11
Emma collects 13 colored pencils. A new set contains 2 more colored pencils. How many colored pencils does Emma have now?,15,Emma collects 40 colored pencils. A new set contains 5 more colored pencils. How many colored pencils does Emma have now?,45,13,2,40,5
Chloe has 17 clay pots. Their art class makes 13 additional clay pots. How many clay pots does Chloe have now?,30,Chloe has 9 clay pots. Their art class makes 4 additional clay pots. How many clay pots does Chloe have now?,13,17,13,9,4
Chloe has 39 clay pots. Their art class makes 3 additional clay pots. How many clay pots does Chloe have now?,42,Chloe has 41 clay pots. Their art class makes 6 additional clay pots. How many clay pots does Chloe have now?,47,39,3,41,6
Mia has 44 storybooks. The library lends them 38 more storybooks. How many storybooks does Mia have now?,82,Mia has 38 storybooks. The library lends them 34 more storybooks. How many storybooks does Mia have now?,72,44,38,38,34
Mia has 22 storybooks. The library lends them 9 more storybooks. How many storybooks does Mia have now?,31,Mia has 27 storybooks. The library lends them 5 more storybooks. How many storybooks does Mia have now?,32,22,9,27,5
Chloe owns 43 comic books. A friend gives them 20 more comic books. How many comic books does Chloe have now?,63,Chloe owns 31 comic books. A friend gives them 11 more comic books. How many comic books does Chloe have now?,42,43,20,31,11
Chloe owns 50 comic books. A friend gives them 5 more comic books. How many comic books does Chloe have now?,55,Chloe owns 41 comic books. A friend gives them 37 more comic books. How many comic books does Chloe have now?,78,50,5,41,37
Olivia collects 18 magazines. Their subscription delivers 5 new magazines. How many magazines does Olivia have now?,23,Olivia collects 24 magazines. Their subscription delivers 3 new magazines. How many magazines does Olivia have now?,27,18,5,24,3
Olivia collects 17 magazines. Their subscription delivers 12 new magazines. How many magazines does Olivia have now?,29,Olivia collects 20 magazines. Their subscription delivers 6 new magazines. How many magazines does Olivia have now?,26,17,12,20,6
Daniel has 36 picture books. Their relative sends 20 more picture books. How many picture books does Daniel have now?,56,Daniel has 41 picture books. Their relative sends 34 more picture books. How many picture books does Daniel have now?,75,36,20,41,34
Daniel has 44 picture books. Their relative sends 7 more picture books. How many picture books does Daniel have now?,51,Daniel has 9 picture books. Their relative sends 2 more picture books. How many picture books does Daniel have now?,11,44,7,9,2
Harper reads 37 chapter books. Their school provides 10 additional chapter books. How many chapter books does Harper have now?,47,Harper reads 19 chapter books. Their school provides 10 additional chapter books. How many chapter books does Harper have now?,29,37,10,19,10
Harper reads 40 chapter books. Their school provides 14 additional chapter books. How many chapter books does Harper have now?,54,Harper reads 47 chapter books. Their school provides 22 additional chapter books. How many chapter books does Harper have now?,69,40,14,47,22
Henry has 45 t-shirts. Their laundry includes 41 more t-shirts. How many t-shirts does Henry have now?,86,Henry has 18 t-shirts. Their laundry includes 17 more t-shirts. How many t-shirts does Henry have now?,35,45,41,18,17
Henry has 33 t-shirts. Their laundry includes 17 more t-shirts. How many t-shirts does Henry have now?,50,Henry has 42 t-shirts. Their laundry includes 28 more t-shirts. How many t-shirts does Henry have now?,70,33,17,42,28
Matthew owns 19 pairs of socks. Their package contains 2 extra pairs of socks. How many pairs of socks does Matthew have now?,21,Matthew owns 37 pairs of socks. Their package contains 28 extra pairs of socks. How many pairs of socks does Matthew have now?,65,19,2,37,28
Matthew owns 37 pairs of socks. Their package contains 1 extra pairs of socks. How many pairs of socks does Matthew have now?,38,Matthew owns 46 pairs of socks. Their package contains 10 extra pairs of socks. How many pairs of socks does Matthew have now?,56,37,1,46,10
Grace has 39 hats. Their collection grows by 36 more hats. How many hats does Grace have now?,75,Grace has 11 hats. Their collection grows by 7 more hats. How many hats does Grace have now?,18,39,36,11,7
Grace has 10 hats. Their collection grows by 1 more hats. How many hats does Grace have now?,11,Grace has 21 hats. Their collection grows by 12 more hats. How many hats does Grace have now?,33,10,1,21,12
Nathan wears 17 jackets. Their closet stores 4 additional jackets. How many jackets does Nathan have now?,21,Nathan wears 24 jackets. Their closet stores 18 additional jackets. How many jackets does Nathan have now?,42,17,4,24,18
Nathan wears 28 jackets. Their closet stores 20 additional jackets. How many jackets does Nathan have now?,48,Nathan wears 49 jackets. Their closet stores 10 additional jackets. How many jackets does Nathan have now?,59,28,20,49,10
Isla has 17 pairs of shoes. Their family buys them 6 more pairs of shoes. How many pairs of shoes does Isla have now?,23,Isla has 13 pairs of shoes. Their family buys them 7 more pairs of shoes. How many pairs of shoes does Isla have now?,20,17,6,13,7
Isla has 49 pairs of shoes. Their family buys them 22 more pairs of shoes. How many pairs of shoes does Isla have now?,71,Isla has 28 pairs of shoes. Their family buys them 26 more pairs of shoes. How many pairs of shoes does Isla have now?,54,49,22,28,26
Chloe saves 49 coins. Their piggybank gains 16 more coins. How many coins does Chloe have now?,65,Chloe saves 19 coins. Their piggybank gains 6 more coins. How many coins does Chloe have now?,25,49,16,19,6
Chloe saves 46 coins. Their piggybank gains 7 more coins. How many coins does Chloe have now?,53,Chloe saves 26 coins. Their piggybank gains 2 more coins. How many coins does Chloe have now?,28,46,7,26,2
Nora has 32 keys on their keychain. They add 8 more keys. How many keys does Nora have now?,40,Nora has 14 keys on their keychain. They add 8 more keys. How many keys does Nora have now?,22,32,8,14,8
Nora has 24 keys on their keychain. They add 10 more keys. How many keys does Nora have now?,34,Nora has 16 keys on their keychain. They add 4 more keys. How many keys does Nora have now?,20,24,10,16,4
James collects 44 bottle caps. Their friend contributes 13 more bottle caps. How many bottle caps does James have now?,57,James collects 27 bottle caps. Their friend contributes 11 more bottle caps. How many bottle caps does James have now?,38,44,13,27,11
James collects 19 bottle caps. Their friend contributes 12 more bottle caps. How many bottle caps does James have now?,31,James collects 43 bottle caps. Their friend contributes 33 more bottle caps. How many bottle caps does James have now?,76,19,12,43,33
Jacob has 23 photos in their album. They print 1 more photos. How many photos does Jacob have now?,24,Jacob has 9 photos in their album. They print 5 more photos. How many photos does Jacob have now?,14,23,1,9,5
Jacob has 13 photos in their album. They print 10 more photos. How many photos does Jacob have now?,23,Jacob has 8 photos in their album. They print 5 more photos. How many photos does Jacob have now?,13,13,10,8,5
Mia owns 24 video games. The store delivers 11 new video games. How many video games does Mia have now?,35,Mia owns 29 video games. The store delivers 20 new video games. How many video games does Mia have now?,49,24,11,29,20
Mia owns 34 video games. The store delivers 8 new video games. How many video games does Mia have now?,42,Mia owns 26 video games. The store delivers 19 new video games. How many video games does Mia have now?,45,34,8,26,19
Henry has 47 minutes to complete a task. The supervisor grants 28 additional minutes. What is the new total time?,75,Henry has 25 minutes to complete a task. The supervisor grants 14 additional minutes. What is the new total time?,39,47,28,25,14
Henry has 41 minutes to complete a task. The supervisor grants 21 additional minutes. What is the new total time?,62,Henry has 44 minutes to complete a task. The supervisor grants 8 additional minutes. What is the new total time?,52,41,21,44,8
The concert starts in 21 minutes. Harper's commute takes 17 minutes longer than expected. What is the adjusted arrival time?,38,The concert starts in 21 minutes. Harper's commute takes 14 minutes longer than expected. What is the adjusted arrival time?,35,21,17,21,14
The concert starts in 22 minutes. Harper's commute takes 13 minutes longer than expected. What is the adjusted arrival time?,35,The concert starts in 46 minutes. Harper's commute takes 19 minutes longer than expected. What is the adjusted arrival time?,65,22,13,46,19
Grace's meeting lasts 28 minutes. The agenda extends it by 22 minutes. What is the new duration?,50,Grace's meeting lasts 26 minutes. The agenda extends it by 22 minutes. What is the new duration?,48,28,22,26,22
Grace's meeting lasts 49 minutes. The agenda extends it by 12 minutes. What is the new duration?,61,Grace's meeting lasts 21 minutes. The agenda extends it by 10 minutes. What is the new duration?,31,49,12,21,10
The flight duration is 29 hours. The pilot adds 26 hours due to weather. What is the new total flight time?,55,The flight duration is 39 hours. The pilot adds 21 hours due to weather. What is the new total flight time?,60,29,26,39,21
The flight duration is 31 hours. The pilot adds 15 hours due to weather. What is the new total flight time?,46,The flight duration is 30 hours. The pilot adds 22 hours due to weather. What is the new total flight time?,52,31,15,30,22
Henry practices piano for 34 minutes daily. Today they added 31 extra minutes. What was the total practice time?,65,Henry practices piano for 49 minutes daily. Today they added 11 extra minutes. What was the total practice time?,60,34,31,49,11
Henry practices piano for 44 minutes daily. Today they added 6 extra minutes. What was the total practice time?,50,Henry practices piano for 20 minutes daily. Today they added 17 extra minutes. What was the total practice time?,37,44,6,20,17
Chloe's account shows 45 dollars. A deposit of 20 dollars is added. What is the new balance?,65,Chloe's account shows 14 dollars. A deposit of 3 dollars is added. What is the new balance?,17,45,20,14,3
Chloe's account shows 41 dollars. A deposit of 5 dollars is added. What is the new balance?,46,Chloe's account shows 31 dollars. A deposit of 14 dollars is added. What is the new balance?,45,41,5,31,14
The item costs 42 dollars. The price increases by 37 dollars. What is the new cost?,79,The item costs 14 dollars. The price increases by 12 dollars. What is the new cost?,26,42,37,14,12
The item costs 46 dollars. The price increases by 25 dollars. What is the new cost?,71,The item costs 17 dollars. The price increases by 5 dollars. What is the new cost?,22,46,25,17,5
Jack budgets 46 dollars for groceries. An unexpected 1 dollar expense arises. What is the revised budget?,47,Jack budgets 50 dollars for groceries. An unexpected 7 dollar expense arises. What is the revised budget?,57,46,1,50,7
Jack budgets 29 dollars for groceries. An unexpected 8 dollar expense arises. What is the revised budget?,37,Jack budgets 13 dollars for groceries. An unexpected 12 dollar expense arises. What is the revised budget?,25,29,8,13,12
The fundraiser goal is 31 dollars. The target increases by 2 dollars. What is the new goal amount?,33,The fundraiser goal is 37 dollars. The target increases by 16 dollars. What is the new goal amount?,53,31,2,37,16
The fundraiser goal is 9 dollars. The target increases by 8 dollars. What is the new goal amount?,17,The fundraiser goal is 44 dollars. The target increases by 34 dollars. What is the new goal amount?,78,9,8,44,34
"Grace earns 50 dollars weekly. With 29 dollars in bonuses, what is the total compensation?",79,"Grace earns 41 dollars weekly. With 33 dollars in bonuses, what is the total compensation?",74,50,29,41,33
"Grace earns 29 dollars weekly. With 27 dollars in bonuses, what is the total compensation?",56,"Grace earns 37 dollars weekly. With 29 dollars in bonuses, what is the total compensation?",66,29,27,37,29
The container holds 30 liters. Nathan adds 9 more liters. What is the new volume?,39,The container holds 42 liters. Nathan adds 18 more liters. What is the new volume?,60,30,9,42,18
The container holds 35 liters. Nathan adds 32 more liters. What is the new volume?,67,The container holds 42 liters. Nathan adds 16 more liters. What is the new volume?,58,35,32,42,16
The rope measures 30 meters. Alexander attaches 3 more meters. What is the total length?,33,The rope measures 47 meters. Alexander attaches 19 more meters. What is the total length?,66,30,3,47,19
The rope measures 23 meters. Alexander attaches 11 more meters. What is the total length?,34,The rope measures 36 meters. Alexander attaches 6 more meters. What is the total length?,42,23,11,36,6
The building is 26 feet tall. The antenna adds 23 feet to its height. What is the new elevation?,49,The building is 28 feet tall. The antenna adds 11 feet to its height. What is the new elevation?,39,26,23,28,11
The building is 36 feet tall. The antenna adds 30 feet to its height. What is the new elevation?,66,The building is 28 feet tall. The antenna adds 2 feet to its height. What is the new elevation?,30,36,30,28,2
The package weighs 28 kilograms. Additional contents add 13 kilograms. What is the new weight?,41,The package weighs 39 kilograms. Additional contents add 2 kilograms. What is the new weight?,41,28,13,39,2
The package weighs 50 kilograms. Additional contents add 37 kilograms. What is the new weight?,87,The package weighs 26 kilograms. Additional contents add 16 kilograms. What is the new weight?,42,50,37,26,16
The pool contains 28 gallons. The hose adds 18 more gallons. What is the total volume?,46,The pool contains 49 gallons. The hose adds 48 more gallons. What is the total volume?,97,28,18,49,48
The pool contains 36 gallons. The hose adds 15 more gallons. What is the total volume?,51,The pool contains 33 gallons. The hose adds 15 more gallons. What is the total volume?,48,36,15,33,15
The store stocks 29 phones. A shipment adds 16 more phones. What is the new stock?,45,The store stocks 3 phones. A shipment adds 2 more phones. What is the new stock?,5,29,16,3,2
The store stocks 23 phones. A shipment adds 22 more phones. What is the new stock?,45,The store stocks 45 phones. A shipment adds 26 more phones. What is the new stock?,71,23,22,45,26
The warehouse has 39 boxes. A delivery brings 37 more boxes. What is the current count?,76,The warehouse has 44 boxes. A delivery brings 2 more boxes. What is the current count?,46,39,37,44,2
The warehouse has 29 boxes. A delivery brings 5 more boxes. What is the current count?,34,The warehouse has 31 boxes. A delivery brings 6 more boxes. What is the current count?,37,29,5,31,6
The library has 18 available books. New acquisitions add 13 books. What is the updated collection?,31,The library has 22 available books. New acquisitions add 7 books. What is the updated collection?,29,18,13,22,7
The library has 23 available books. New acquisitions add 13 books. What is the updated collection?,36,The library has 19 available books. New acquisitions add 14 books. What is the updated collection?,33,23,13,19,14
The bakery prepares 24 loaves. The afternoon batch makes 8 more loaves. What is the total production?,32,The bakery prepares 43 loaves. The afternoon batch makes 5 more loaves. What is the total production?,48,24,8,43,5
The bakery prepares 43 loaves. The afternoon batch makes 3 more loaves. What is the total production?,46,The bakery prepares 50 loaves. The afternoon batch makes 2 more loaves. What is the total production?,52,43,3,50,2
The farm has 14 chickens. New hatchlings increase the flock by 1. What is the new population?,15,The farm has 41 chickens. New hatchlings increase the flock by 10. What is the new population?,51,14,1,41,10
The farm has 32 chickens. New hatchlings increase the flock by 22. What is the new population?,54,The farm has 31 chickens. New hatchlings increase the flock by 23. What is the new population?,54,32,22,31,23
The exam has 25 questions. The teacher adds 6 bonus questions. What is the new total?,31,The exam has 40 questions. The teacher adds 39 bonus questions. What is the new total?,79,25,6,40,39
The exam has 49 questions. The teacher adds 46 bonus questions. What is the new total?,95,The exam has 21 questions. The teacher adds 4 bonus questions. What is the new total?,25,49,46,21,4
The assignment requires 38 pages. The professor extends it by 25 pages. What is the new requirement?,63,The assignment requires 27 pages. The professor extends it by 23 pages. What is the new requirement?,50,38,25,27,23
The assignment requires 14 pages. The professor extends it by 2 pages. What is the new requirement?,16,The assignment requires 39 pages. The professor extends it by 16 pages. What is the new requirement?,55,14,2,39,16
The textbook has 46 chapters. The new edition adds 20 chapters. What is the updated count?,66,The textbook has 45 chapters. The new edition adds 39 chapters. What is the updated count?,84,46,20,45,39
The textbook has 29 chapters. The new edition adds 22 chapters. What is the updated count?,51,The textbook has 25 chapters. The new edition adds 3 chapters. What is the updated count?,28,29,22,25,3
The course offers 33 credit hours. Michael adds 7 audit hours. What is the total course load?,40,The course offers 29 credit hours. Michael adds 12 audit hours. What is the total course load?,41,33,7,29,12
The course offers 42 credit hours. Michael adds 30 audit hours. What is the total course load?,72,The course offers 47 credit hours. Michael adds 10 audit hours. What is the total course load?,57,42,30,47,10
The lab has 35 experiments. The curriculum adds 18 new experiments. What is the updated schedule?,53,The lab has 41 experiments. The curriculum adds 35 new experiments. What is the updated schedule?,76,35,18,41,35
