template,logic,key_phrases
{x} desks are arranged in {y} equal rows. How many desks per row?,x/y,"equal rows, per"
"A bookshelf has {x} shelves, each holding {y} books. How many books total?",x*y,"each holding, total"
{x} books are placed equally on {y} shelves. How many books per shelf?,x/y,"equally on, per"
Tickets cost ${x} each. [name] buys {y} tickets. What's the total cost?,x*y,"each, total"
[name] spent ${x} on {y} equally priced tickets. What was the price per ticket?,x/y,"equally priced, per"
Each candy bag costs ${x}. How much for {y} bags?,x*y,"each, how much for"
[name] paid ${x} for {y} candy bags. What was the per-bag price?,x/y,"paid for, per"
A toy is priced at ${x} each. How much for {y} toys?,x*y,"each, how much for"
[name] spent ${x} on {y} identical toys. What was each toy's price?,x/y,"spent on, each"
Apples cost ${x} per apple. How much for {y} apples?,x*y,"per, how much for"
{y} apples cost ${x} altogether. What's the price per apple?,x/y,"altogether, per"
A subscription costs ${x} monthly. What's the cost for {y} months?,x*y,"monthly, for"
[name] paid ${x} for {y} months of service. What was the monthly rate?,x/y,"paid for, monthly"
A car drives {x} miles every hour for {y} hours. How far does it go?,x*y,"every hour, for"
A car traveled {x} miles in {y} hours. What was its speed in mph?,x/y,"in, speed"
A plane flies {x} miles per hour. How far in {y} hours?,x*y,"per hour, how far in"
A plane covered {x} miles over {y} hours. What was its speed?,x/y,"over, speed"
A runner maintains {x} km every hour. How far in {y} hours?,x*y,"every hour, how far"
A runner completed {x} km in {y} hours. What was the pace?,x/y,"in, pace"
A train travels {x} kilometers per hour. How far does it go in {y} hours?,x*y,"per hour, how far"
A train went {x} km during {y} hours. What was its speed?,x/y,"during, speed"
A cyclist averages {x} miles every hour. How far in {y} hours?,x*y,"every hour, how far"
A cyclist rode {x} miles over {y} hours. What was the average speed?,x/y,"over, average"
A recipe requires {x} cups of flour per batch. [name] makes {y} batches. How much flour?,x*y,"per batch, how much"
[name] has {x} cups of flour to make {y} batches. How much per batch?,x/y,"to make, per"
Each cake needs {x} eggs. How many eggs for {y} cakes?,x*y,"each, how many for"
{y} cakes used {x} eggs total. How many eggs per cake?,x/y,"used, per"
Cookies require {x} chips per cookie. How many chips for {y} cookies?,x*y,"per cookie, how many"
{y} cookies used {x} chips altogether. What's the average per cookie?,x/y,"altogether, average"
Each serving requires {x} ounces. How much for {y} servings?,x*y,"each, how much"
{y} servings used {x} ounces total. How much per serving?,x/y,"used, per"
Punch needs {x} liters per bowl. How much for {y} bowls?,x*y,"per bowl, how much"
{y} bowls used {x} liters total. What was the amount per bowl?,x/y,"used, per"
[name] earns ${x} per hour. How much for {y} hours?,x*y,"per hour, how much"
[name] earned ${x} by working {y} hours. What was the hourly pay?,x/y,"by working, hourly"
Workers are paid ${x} per item. How much for {y} items?,x*y,"per item, how much"
A worker earned ${x} from {y} items. What was the per-item rate?,x/y,"from, per-item"
Each project pays ${x}. What's the income from {y} projects?,x*y,"each, income from"
{y} projects earned ${x} total. What was the average per project?,x/y,"earned, average"
A consultant charges ${x} daily. What's the cost for {y} days?,x*y,"daily, cost for"
A consultant's {y} days of work cost ${x}. What was the daily rate?,x/y,"cost, daily"
Overtime pays ${x} per hour. How much for {y} overtime hours?,x*y,"per hour, how much"
{y} overtime hours earned ${x}. What was the overtime rate?,x/y,"earned, rate"
Each crate holds {x} oranges. How many oranges in {y} crates?,x*y,"each holds, in"
{x} oranges are packed equally in {y} crates. How many per crate?,x/y,"equally in, per"
Egg cartons contain {x} eggs each. How many eggs in {y} cartons?,x*y,"each, in"
{y} cartons hold {x} eggs total. How many eggs per carton?,x/y,"hold, per"
Jars contain {x} marbles each. How many marbles in {y} jars?,x*y,"each, in"
{y} jars have {x} marbles total. What's the average per jar?,x/y,"have, average"
Cases hold {x} bottles each. How many bottles in {y} cases?,x*y,"each, in"
{y} cases contain {x} bottles total. How many per case?,x/y,"contain, per"
Packets have {x} seeds each. How many seeds in {y} packets?,x*y,"each, in"
{y} packets contain {x} seeds total. How many seeds per packet?,x/y,"contain, per"
Tasks take {x} minutes each. How long for {y} tasks?,x*y,"each, how long"
{y} tasks took {x} minutes total. What was the average time per task?,x/y,"took, average"
A process takes {x} hours per unit. How long for {y} units?,x*y,"per unit, how long"
{y} units were made in {x} hours total. What was the time per unit?,x/y,"in, per"
Questions take {x} minutes each. How long for {y} questions?,x*y,"each, how long"
{y} questions took {x} minutes altogether. What was the average time?,x/y,"took, average"
A machine processes {x} items per hour. How many can it do in {y} hours?,x*y,"per hour, in"
A machine completed {x} items over {y} hours. What was its processing rate?,x/y,"over, rate"
Customers take {x} minutes each to serve. How long for {y} customers?,x*y,"each, how long"
{y} customers were served in {x} minutes. What was the average service time?,x/y,"in, average"
A team scores {x} points per game. How many points in {y} games?,x*y,"per game, in"
A team scored {x} points over {y} games. What was their average?,x/y,"over, average"
A player averages {x} rebounds per game. How many in {y} games?,x*y,"per game, how many"
A player got {x} rebounds in {y} games. What was the average?,x/y,"in, average"
Innings average {x} runs each. How many runs in {y} innings?,x*y,"each, how many"
{y} innings had {x} runs total. What was the average per inning?,x/y,"had, average"
A player makes {x} free throws per game. How many in {y} games?,x*y,"per game, how many"
A player made {x} free throws over {y} games. What was the average?,x/y,"over, average"
A team allows {x} goals per match. How many in {y} matches?,x*y,"per match, how many"
A team conceded {x} goals during {y} matches. What was the average?,x/y,"during, average"
[name] creates {x} paintings every month. How many paintings will be completed after {y} months?,x*y,"every month, after"
[name] completed {x} paintings over {y} months. How many paintings per month on average?,x/y,"over, per month"
Each sculpture requires {x} pounds of clay. How much clay is needed to make {y} sculptures?,x*y,"each, to make"
[name] used {x} pounds of clay for {y} sculptures. How much clay per sculpture?,x/y,"used for, per"
The dance troupe performs {x} shows in each city. How many shows will they perform on a {y}-city tour?,x*y,"each city, on a"
The troupe performed {x} shows across {y} cities. What was their average shows per city?,x/y,"across, average per"
Each art class uses {x} paint tubes weekly. How many tubes are needed for {y} classes?,x*y,"each, for"
The art department has {x} paint tubes to share equally among {y} classes. How many per class?,x/y,"share equally, per"
[name] writes {x} poetry lines daily. How many lines will be written in {y} consecutive days?,x*y,"daily, in"
[name] wrote {x} poetry lines over {y} days. What was the average daily output?,x/y,"over, average daily"
Each theater seat needs {x} yards of fabric. How much fabric is required for {y} seats?,x*y,"each, for"
The theater used {x} yards of fabric for {y} seats. How much fabric per seat?,x/y,"used for, per"
The band sells {x} albums per concert. How many albums will they sell at {y} concerts?,x*y,"per concert, at"
The band sold {x} albums over {y} concerts. What was their average sales per concert?,x/y,"over, average per"
Each mosaic tile covers {x} square inches. How much area can {y} tiles cover?,x*y,"each, can"
[name] covered {x} square inches with {y} tiles. What was the average coverage per tile?,x/y,"with, average per"
The film crew shoots {x} scenes daily. How many scenes will they capture in {y} days?,x*y,"daily, in"
The crew shot {x} scenes over {y} days. What was their average daily scenes?,x/y,"over, average daily"
Each jewelry box holds {x} rings. How many rings can be stored in {y} boxes?,x*y,"each, in"
[name] has {x} rings to distribute equally among {y} boxes. How many rings per box?,x/y,"distribute equally, per"
The beehive produces {x} ounces of honey daily. What will be the total production after {y} days?,x*y,"daily, after"
The hive produced {x} ounces of honey over {y} days. What was the average daily yield?,x/y,"over, average daily"
Each rainforest tree hosts {x} epiphyte species. How many species would be found on {y} trees?,x*y,"each, on"
Researchers found {x} epiphyte species on {y} trees. What was the average per tree?,x/y,"on, average per"
The volcano erupts {x} tons of ash hourly. How much ash will be ejected in {y} hours?,x*y,"hourly, in"
The volcano released {x} tons of ash over {y} hours. What was the hourly eruption rate?,x/y,"over, hourly rate"
Each tide pool contains {x} hermit crabs. How many crabs would be in {y} pools?,x*y,"each, in"
Scientists observed {x} hermit crabs distributed equally among {y} pools. What was the average per pool?,x/y,"distributed equally, average per"
The glacier recedes {x} inches daily. How much will it shrink after {y} days?,x*y,"daily, after"
The glacier retreated {x} inches over {y} days. What was the average daily recession?,x/y,"over, average daily"
The meteor shower produces {x} meteors hourly. How many might be seen during {y} hours?,x*y,"hourly, during"
Observers counted {x} meteors over {y} hours. What was the hourly rate?,x/y,"over, hourly rate"
The sunflower grows {x} inches weekly. How tall will it be after {y} weeks?,x*y,"weekly, after"
The sunflower grew {x} inches over {y} weeks. What was the average weekly growth?,x/y,"over, average weekly"
Each coral reef supports {x} fish species. How many species might exist across {y} reefs?,x*y,"each, across"
Marine biologists documented {x} species among {y} reefs. What was the average per reef?,x/y,"among, average per"
The thunderstorm produces {x} lightning flashes per minute. How many flashes in {y} minutes?,x*y,"per minute, in"
The storm had {x} lightning flashes over {y} minutes. What was the flash rate?,x/y,"over, rate"
Each mushroom colony expands {x} square feet daily. How much area would {y} colonies cover?,x*y,"each, would"
The fungal network covered {x} square feet across {y} colonies. What was the average size?,x/y,"across, average"
The server handles {x} requests per second. How many requests in {y} seconds?,x*y,"per second, in"
The server processed {x} requests over {y} seconds. What was the request rate?,x/y,"over, rate"
Each smartphone has {x}GB storage. How much total storage for {y} phones?,x*y,"each, for"
A shipment of {y} phones has {x}GB total storage. What's the average per phone?,x/y,"total, average per"
The download speed is {x} MB per second. How much data will download in {y} seconds?,x*y,"per second, in"
[name] downloaded {x} MB over {y} seconds. What was the download speed?,x/y,"over, speed"
Each robot assembles {x} components hourly. How many components can {y} robots assemble?,x*y,"each, can"
A team of {y} robots assembled {x} components. What was each robot's average output?,x/y,"team of, average"
Each server rack uses {x} kilowatts. What's the total power for {y} racks?,x*y,"each, for"
The data center used {x} kilowatts across {y} racks. What was the average per rack?,x/y,"across, average per"
Each software update takes {x} minutes. How long will {y} updates take?,x*y,"each, will"
Installing {y} updates took {x} minutes total. What was the average time?,x/y,"took, average"
The fiber cable transmits {x} TB per hour. How much data in {y} hours?,x*y,"per hour, in"
The cable transferred {x} TB over {y} hours. What was the average rate?,x/y,"over, average rate"
Each smartwatch tracks {x} health metrics. How many metrics for {y} watches?,x*y,"each, for"
The system collected {x} metrics from {y} watches. What was the average per watch?,x/y,"from, average per"
The 3D printer makes {x} layers per minute. How many layers in {y} minutes?,x*y,"per minute, in"
The printer created {x} layers over {y} minutes. What was the average speed?,x/y,"over, average speed"
Each VR headset needs {x} sensors. How many sensors for {y} headsets?,x*y,"each, for"
The VR setup uses {x} sensors across {y} headsets. What's the average per headset?,x/y,"across, average per"
The ferry transports {x} vehicles per trip. How many vehicles can it carry in {y} trips?,x*y,"per trip, in"
The ferry carried {x} vehicles over {y} trips. What was the average vehicles per trip?,x/y,"over, average per"
Each airplane seat weighs {x} pounds. What is the total weight of {y} seats?,x*y,"each, total"
The cabin's {y} seats weigh {x} pounds total. What is the average seat weight?,x/y,"total, average"
A subway train arrives every {x} minutes. How many arrivals will there be in {y} minutes?,x*y,"every, in"
There were {x} arrivals during {y} minutes. What was the actual arrival frequency?,x/y,"during, frequency"
Each scooter travels {x} miles per charge. How far can {y} scooters travel?,x*y,"each, can"
A fleet of {y} scooters traveled {x} miles total. What was the average distance per scooter?,x/y,"total, average per"
The cargo ship loads {x} containers hourly. How many containers can it load in {y} hours?,x*y,"hourly, in"
Dockworkers loaded {x} containers over {y} hours. What was their average hourly rate?,x/y,"over, average hourly"
Each bicycle wheel requires {x} spokes. How many spokes are needed for {y} wheels?,x*y,"each, for"
The shop used {x} spokes across {y} wheels. What was the average spokes per wheel?,x/y,"across, average per"
The toll booth processes {x} cars per minute. How many cars can pass in {y} minutes?,x*y,"per minute, in"
The booth processed {x} cars over {y} minutes. What was its average processing rate?,x/y,"over, average rate"
Each train carriage has {x} seats. How many seats are in {y} carriages?,x*y,"each, in"
The train has {x} seats total across {y} carriages. What's the average per carriage?,x/y,"total, average per"
The helicopter uses {x} gallons of fuel hourly. How much fuel will it use in {y} hours?,x*y,"hourly, in"
The helicopter consumed {x} gallons over {y} hours. What was its average hourly usage?,x/y,"over, average hourly"
Each electric vehicle charges at {x} kW. What's the total power needed for {y} vehicles?,x*y,"each, for"
The charging station provided {x} kW total to {y} vehicles. What was the average per vehicle?,x/y,"total, average per"
The Mars rover travels {x} meters daily. How far will it go in {y} days?,x*y,"daily, in"
The rover traveled {x} meters over {y} days. What was its average daily distance?,x/y,"over, average daily"
Each astronaut consumes {x} pounds of food weekly. How much food is needed for {y} weeks?,x*y,"each, for"
The crew ate {x} pounds of food over {y} weeks. What was their average weekly consumption?,x/y,"over, average weekly"
The satellite completes {x} orbits daily. How many orbits in {y} days?,x*y,"daily, in"
The satellite made {x} orbits in {y} days. What was its actual daily orbit count?,x/y,"in, daily count"
Each spacewalk requires {x} hours of prep. How much prep time for {y} spacewalks?,x*y,"each, for"
Mission Control spent {x} hours prepping for {y} spacewalks. What was the average prep time?,x/y,"for, average"
The rocket burns {x} tons of fuel per minute. How much fuel will it use in {y} minutes?,x*y,"per minute, in"
The rocket used {x} tons of fuel over {y} minutes. What was its average burn rate?,x/y,"over, average rate"
Each lunar module carries {x} instruments. How many instruments can {y} modules carry?,x*y,"each, can"
Scientists deployed {x} instruments across {y} modules. What was the average per module?,x/y,"across, average per"
The telescope captures {x} images per orbit. How many images in {y} orbits?,x*y,"per orbit, in"
The telescope took {x} images during {y} orbits. What was its average imaging rate?,x/y,"during, average rate"
Each asteroid sample weighs {x} grams. What is the total weight of {y} samples?,x*y,"each, total"
The mission collected {x} grams from {y} samples. What was the average sample weight?,x/y,"from, average"
The spaceship's shield blocks {x} radiation units hourly. How much radiation can it block in {y} hours?,x*y,"hourly, in"
The shield blocked {x} units over {y} hours. What was its average protection rate?,x/y,"over, average rate"
Each Mars transmission takes {x} minutes. How long will {y} transmissions take?,x*y,"each, will"
Mission Control spent {x} minutes on {y} transmissions. What was the average time per transmission?,x/y,"on, average per"
Each magic potion needs {x} dragon scales. How many scales for {y} potions?,x*y,"each, for"
The alchemist used {x} scales to make {y} potions. What was the average per potion?,x/y,"to make, average per"
The dungeon has {x} traps per level. How many traps in {y} levels?,x*y,"per level, in"
Adventurers found {x} traps across {y} levels. What was the average traps per level?,x/y,"across, average per"
Each spell costs {x} mana points. How much mana to cast {y} spells?,x*y,"each, to cast"
The wizard spent {x} mana on {y} spells. What was the average cost per spell?,x/y,"on, average per"
The character earns {x} XP per quest. How much XP from {y} quests?,x*y,"per quest, from"
The character gained {x} XP over {y} quests. What was the average XP per quest?,x/y,"over, average per"
Each treasure chest holds {x} coins. How many coins in {y} chests?,x*y,"each, in"
The party found {x} coins distributed among {y} chests. What was the average per chest?,x/y,"among, average per"
The castle has {x} passages per tower. How many passages in {y} towers?,x*y,"per tower, in"
Explorers mapped {x} passages across {y} towers. What was the average per tower?,x/y,"across, average per"
Each monster drops {x} items. How many items from {y} monsters?,x*y,"each, from"
Defeating {y} monsters yielded {x} items total. What was the average drop?,x/y,"yielded, average"
The spellbook has {x} pages per chapter. How many pages in {y} chapters?,x*y,"per chapter, in"
The {y}-chapter spellbook has {x} pages total. How many pages per chapter?,x/y,"total, per chapter"
Each puzzle takes {x} moves to solve. How many moves for {y} puzzles?,x*y,"each, for"
[name] made {x} moves total across {y} puzzles. What was the average per puzzle?,x/y,"across, average per"
The game loads {x} textures per second. How many textures in {y} seconds?,x*y,"per second, in"
The game loaded {x} textures over {y} seconds. What was the average loading speed?,x/y,"over, average speed"
Each pyramid block weighs {x} tons. What is the total weight of {y} blocks?,x*y,"each, total"
The pyramid's {y} blocks weigh {x} tons total. What is the average block weight?,x/y,"total, average"
The scribe copies {x} pages daily. How many pages in {y} days?,x*y,"daily, in"
The {x}-page manuscript took {y} days to copy. What was the average daily output?,x/y,"took, average daily"
Each Viking ship carries {x} warriors. How many warriors can {y} ships carry?,x*y,"each, can"
The fleet of {y} ships transported {x} warriors total. What was the average per ship?,x/y,"total, average per"
The castle requires {x} stones per wall. How many stones for {y} walls?,x*y,"per wall, for"
Builders used {x} stones across {y} walls. What was the average per wall?,x/y,"across, average per"
Each Roman road segment is {x} miles long. How long is a road with {y} segments?,x*y,"each, with"
The {x}-mile road consists of {y} segments. What is the average segment length?,x/y,"consists of, average"
The revolution gains {x} supporters daily. How many supporters in {y} days?,x*y,"daily, in"
The movement gained {x} supporters over {y} days. What was the average daily growth?,x/y,"over, average daily"
Each samurai sword takes {x} hours to forge. How long to forge {y} swords?,x*y,"each, to forge"
The swordsmith spent {x} hours making {y} swords. What was the average time per sword?,x/y,"making, average per"
The caravan travels {x} miles daily. How far will it go in {y} days?,x*y,"daily, in"
The caravan covered {x} miles in {y} days. What was its average daily distance?,x/y,"in, average daily"
Each Renaissance painting uses {x} pigments. How many pigments for {y} paintings?,x*y,"each, for"
Artists used {x} pigments across {y} paintings. What was the average per painting?,x/y,"across, average per"
The miner finds {x} ounces of gold weekly. How much gold in {y} weeks?,x*y,"weekly, in"
The miner extracted {x} ounces over {y} weeks. What was the average weekly yield?,x/y,"over, average weekly"
Each hurricane produces {x} inches of rain. How much rain will {y} hurricanes bring?,x*y,"each, will"
The region received {x} inches of rain from {y} hurricanes. What was the average rainfall per hurricane?,x/y,"from, average per"
The blizzard drops {x} snowflakes per square inch. How many flakes will fall on {y} square inches?,x*y,"per square inch, on"
Scientists measured {x} snowflakes across {y} square inches. What was the average snowflake density?,x/y,"across, average"
Each tornado damages {x} structures. How many structures will {y} tornadoes affect?,x*y,"each, will"
The tornado outbreak damaged {x} structures across {y} tornadoes. What was the average damage per tornado?,x/y,"across, average per"
The heatwave increases energy demand by {x} megawatts daily. How much extra power will be needed over {y} days?,x*y,"daily, over"
Energy demand increased by {x} megawatts over {y} heatwave days. What was the average daily increase?,x/y,"over, average daily"
Each lightning strike releases {x} gigajoules. How much energy will {y} strikes release?,x*y,"each, will"
The storm released {x} gigajoules through {y} lightning strikes. What was the average energy per strike?,x/y,"through, average per"
The flood submerges {x} acres hourly. How many acres will be flooded in {y} hours?,x*y,"hourly, in"
The floodwaters covered {x} acres over {y} hours. What was the average expansion rate?,x/y,"over, average rate"
Each hailstorm produces {x} ice chunks per square yard. How many chunks will fall on {y} square yards?,x*y,"per square yard, on"
The storm dropped {x} hailstones across {y} square yards. What was the average concentration?,x/y,"across, average"
The drought lowers water levels by {x} feet monthly. How much will levels drop over {y} months?,x*y,"monthly, over"
Reservoirs dropped {x} feet during {y} months of drought. What was the average monthly decline?,x/y,"during, average monthly"
Each tsunami wave carries {x} tons of debris. How much debris will {y} waves move?,x*y,"each, will"
The tsunami moved {x} tons of debris through {y} waves. What was the average debris per wave?,x/y,"through, average per"
The sandstorm reduces visibility by {x} meters per minute. How much visibility will be lost in {y} minutes?,x*y,"per minute, in"
Visibility decreased by {x} meters over {y} minutes. What was the average rate of visibility loss?,x/y,"over, average rate"
Each whale consumes {x} krill daily. How many krill will {y} whales eat?,x*y,"each, will"
A pod of {y} whales consumed {x} krill total. What was the average krill per whale?,x/y,"total, average per"
The coral reef grows {x} centimeters annually. How much will it grow in {y} years?,x*y,"annually, in"
The reef grew {x} centimeters over {y} years. What was its average annual growth?,x/y,"over, average annual"
Each sea turtle lays {x} eggs per nest. How many eggs will {y} nests contain?,x*y,"each, will"
Researchers found {x} turtle eggs in {y} nests. What was the average eggs per nest?,x/y,"in, average per"
The ocean current moves {x} miles daily. How far will objects drift in {y} days?,x*y,"daily, in"
Driftwood traveled {x} miles over {y} days. What was the average daily movement?,x/y,"over, average daily"
Each phytoplankton cluster produces {x} oxygen molecules hourly. How much oxygen will {y} clusters produce?,x*y,"each, will"
Scientists measured {x} oxygen molecules from {y} phytoplankton clusters. What was the average production rate?,x/y,"from, average rate"
The kelp forest grows {x} feet monthly. How tall will it become after {y} months?,x*y,"monthly, after"
The kelp grew {x} feet over {y} months. What was its average monthly growth?,x/y,"over, average monthly"
Each fishing net catches {x} fish when full. How many fish will {y} full nets catch?,x*y,"each, will"
Fishermen emptied {x} fish from {y} nets. What was the average catch per net?,x/y,"from, average per"
The submarine explores {x} square miles daily. How much area can it survey in {y} days?,x*y,"daily, in"
The submarine surveyed {x} square miles over {y} days. What was its average daily exploration?,x/y,"over, average daily"
Each oyster filters {x} gallons of water hourly. How much water will {y} oysters filter?,x*y,"each, will"
An oyster bed of {y} oysters filtered {x} gallons total. What was the average per oyster?,x/y,"total, average per"
The tidal zone reveals {x} new species per survey. How many species might be found in {y} surveys?,x*y,"per survey, in"
Researchers documented {x} species across {y} tidal surveys. What was the average per survey?,x/y,"across, average per"
Each quantum computer performs {x} operations per second. How many operations in {y} seconds?,x*y,"per second, in"
The quantum computer completed {x} operations over {y} seconds. What was its operation rate?,x/y,"over, rate"
The nanobot swarm repairs {x} cells per minute. How many cells can it repair in {y} minutes?,x*y,"per minute, in"
The nanobots repaired {x} cells during {y} minutes. What was their average repair rate?,x/y,"during, average rate"
Each hologram projector uses {x} teraflops. How much processing power for {y} projectors?,x*y,"each, for"
The hologram system uses {x} teraflops total across {y} projectors. What's the average per projector?,x/y,"total across, average per"
The fusion reactor generates {x} megawatts hourly. How much energy in {y} hours?,x*y,"hourly, in"
The reactor produced {x} megawatts over {y} hours. What was its average hourly output?,x/y,"over, average hourly"
Each AI training cycle processes {x} data points. How many points in {y} cycles?,x*y,"each, in"
The AI processed {x} data points through {y} cycles. What was the average per cycle?,x/y,"through, average per"
The space elevator climbs {x} kilometers daily. How far will it ascend in {y} days?,x*y,"daily, in"
The elevator ascended {x} kilometers over {y} days. What was its average daily climb?,x/y,"over, average daily"
Each gene editor modifies {x} base pairs per second. How many edits in {y} seconds?,x*y,"per second, in"
The gene editor made {x} edits over {y} seconds. What was its editing speed?,x/y,"over, speed"
The Mars colony uses {x} liters of water daily. How much water will be needed for {y} days?,x*y,"daily, for"
The colony used {x} liters over {y} days. What was their average daily usage?,x/y,"over, average daily"
Each exoskeleton lifts {x} kilograms. How much can {y} exoskeletons lift together?,x*y,"each, together"
A team of {y} exoskeletons lifted {x} kg total. What was the average lifting capacity?,x/y,"total, average"
The drone makes {x} deliveries per hour. How many deliveries in {y} hours?,x*y,"per hour, in"
The drone completed {x} deliveries over {y} hours. What was its average delivery rate?,x/y,"over, average rate"
