template,logic,key_phrases
[name] owns {x} tennis balls. The club replaces {y} old tennis balls. How many tennis balls does [name] have now?,x-y,replaces
[name] has {x} basketballs. Their team receives {y} additional basketballs. How many basketballs does [name] have now?,x+y,"receives, additional basketballs"
[name] has {x} basketballs. Their team donates {y} basketballs. How many basketballs does [name] have now?,x-y,donates
[name] brings {x} soccer balls to practice. The league contributes {y} more soccer balls. How many soccer balls does [name] have now?,x+y,"contributes, more soccer balls"
[name] brings {x} soccer balls to practice. The league redistributes {y} soccer balls. How many soccer balls does [name] have now?,x-y,redistributes
[name] has {x} hockey pucks. Their teammate shares {y} more hockey pucks. How many hockey pucks does [name] have now?,x+y,"shares, more hockey pucks"
[name] has {x} hockey pucks. Their teammate borrows {y} hockey pucks. How many hockey pucks does [name] have now?,x-y,borrows
[name] has {x} crayons. Their art set includes {y} more crayons. How many crayons does [name] have now?,x+y,"includes, more crayons"
[name] has {x} crayons. Their art set is missing {y} crayons. How many crayons does [name] have now?,x-y,is missing
[name] owns {x} paintbrushes. Their teacher gives them {y} new paintbrushes. How many paintbrushes does [name] have now?,x+y,"gives them, new paintbrushes"
[name] owns {x} paintbrushes. Their teacher collects {y} paintbrushes for cleaning. How many paintbrushes does [name] have now?,x-y,collects
[name] has {x} sketchbooks. Their parents buy them {y} more sketchbooks. How many sketchbooks does [name] have now?,x+y,"buy them, more sketchbooks"
[name] has {x} sketchbooks. Their parents archive {y} old sketchbooks. How many sketchbooks does [name] have now?,x-y,archive
[name] collects {x} colored pencils. A new set contains {y} more colored pencils. How many colored pencils does [name] have now?,x+y,"contains, more colored pencils"
[name] collects {x} colored pencils. A set gets damaged and loses {y} colored pencils. How many colored pencils does [name] have now?,x-y,loses
[name] has {x} clay pots. Their art class makes {y} additional clay pots. How many clay pots does [name] have now?,x+y,"makes, additional clay pots"
[name] has {x} clay pots. Their art class breaks {y} clay pots. How many clay pots does [name] have now?,x-y,breaks
[name] has {x} storybooks. The library lends them {y} more storybooks. How many storybooks does [name] have now?,x+y,"lends them, more storybooks"
[name] has {x} storybooks. The library recalls {y} storybooks. How many storybooks does [name] have now?,x-y,recalls
[name] owns {x} comic books. A friend gives them {y} more comic books. How many comic books does [name] have now?,x+y,"gives them, more comic books"
[name] owns {x} comic books. A friend borrows {y} comic books. How many comic books does [name] have now?,x-y,borrows
[name] collects {x} magazines. Their subscription delivers {y} new magazines. How many magazines does [name] have now?,x+y,"delivers, new magazines"
[name] collects {x} magazines. Their subscription expires for {y} magazines. How many magazines does [name] have now?,x-y,expires
[name] has {x} picture books. Their relative sends {y} more picture books. How many picture books does [name] have now?,x+y,"sends, more picture books"
[name] has {x} picture books. Their relative asks for {y} picture books back. How many picture books does [name] have now?,x-y,asks for
[name] reads {x} chapter books. Their school provides {y} additional chapter books. How many chapter books does [name] have now?,x+y,"provides, additional chapter books"
[name] reads {x} chapter books. Their school collects {y} chapter books for inventory. How many chapter books does [name] have now?,x-y,collects
[name] has {x} t-shirts. Their laundry includes {y} more t-shirts. How many t-shirts does [name] have now?,x+y,"includes, more t-shirts"
[name] has {x} t-shirts. Their laundry loses {y} t-shirts. How many t-shirts does [name] have now?,x-y,loses
[name] owns {x} pairs of socks. Their package contains {y} extra pairs of socks. How many pairs of socks does [name] have now?,x+y,"contains, extra pairs"
[name] owns {x} pairs of socks. Their washing machine ruins {y} pairs of socks. How many pairs of socks does [name] have now?,x-y,ruins
[name] has {x} hats. Their collection grows by {y} more hats. How many hats does [name] have now?,x+y,"grows by, more hats"
[name] has {x} hats. Their collection decreases by {y} hats. How many hats does [name] have now?,x-y,decreases by
[name] wears {x} jackets. Their closet stores {y} additional jackets. How many jackets does [name] have now?,x+y,"stores, additional jackets"
[name] wears {x} jackets. Their closet donates {y} jackets. How many jackets does [name] have now?,x-y,donates
[name] has {x} pairs of shoes. Their family buys them {y} more pairs of shoes. How many pairs of shoes does [name] have now?,x+y,"buys them, more pairs"
[name] has {x} pairs of shoes. Their family replaces {y} old pairs of shoes. How many pairs of shoes does [name] have now?,x-y,replaces
[name] saves {x} coins. Their piggybank gains {y} more coins. How many coins does [name] have now?,x+y,"gains, more coins"
[name] saves {x} coins. Their piggybank loses {y} coins. How many coins does [name] have now?,x-y,loses
[name] has {x} keys on their keychain. They add {y} more keys. How many keys does [name] have now?,x+y,"add, more keys"
[name] has {x} keys on their keychain. They remove {y} keys. How many keys does [name] have now?,x-y,remove
[name] collects {x} bottle caps. Their friend contributes {y} more bottle caps. How many bottle caps does [name] have now?,x+y,"contributes, more bottle caps"
[name] collects {x} bottle caps. Their friend takes {y} bottle caps for a project. How many bottle caps does [name] have now?,x-y,takes
[name] has {x} photos in their album. They print {y} more photos. How many photos does [name] have now?,x+y,"print, more photos"
[name] has {x} photos in their album. They remove {y} photos. How many photos does [name] have now?,x-y,remove
[name] owns {x} video games. The store delivers {y} new video games. How many video games does [name] have now?,x+y,"delivers, new video games"
[name] owns {x} video games. The store recalls {y} video games. How many video games does [name] have now?,x-y,recalls
[name] has {x} minutes to complete a task. The supervisor grants {y} additional minutes. What is the new total time?,x+y,"additional, new total"
[name] has {x} minutes to complete a task. The timer shows {y} minutes have passed. What is the current remaining time?,x-y,"have passed, remaining"
The concert starts in {x} minutes. [name]'s commute takes {y} minutes longer than expected. What is the adjusted arrival time?,x+y,"longer than, adjusted"
The concert starts in {x} minutes. [name] needs {y} minutes to get ready. What is the latest possible departure time?,x-y,"needs, departure time"
[name]'s meeting lasts {x} minutes. The agenda extends it by {y} minutes. What is the new duration?,x+y,"extends, new duration"
"[name]'s meeting lasts {x} minutes. After {y} minutes, how much meeting time is left?",x-y,"after, left"
The flight duration is {x} hours. The pilot adds {y} hours due to weather. What is the new total flight time?,x+y,"adds, new total"
"The flight duration is {x} hours. After {y} hours in the air, how much longer until landing?",x-y,"after, longer until"
[name] practices piano for {x} minutes daily. Today they added {y} extra minutes. What was the total practice time?,x+y,"added, extra"
[name] practices piano for {x} minutes daily. Today they stopped after {y} minutes. How much practice was skipped?,x-y,"stopped after, skipped"
[name]'s account shows {x} dollars. A deposit of {y} dollars is added. What is the new balance?,x+y,"deposit, added"
"[name]'s account shows {x} dollars. After a purchase of {y} dollars, what is the current balance?",x-y,"purchase of, after"
The item costs {x} dollars. The price increases by {y} dollars. What is the new cost?,x+y,"increases by, new cost"
The item costs {y} dollars. [name] pays with {x} dollars. What is the amount to be returned?,x-y,"pays with, returned"
[name] budgets {x} dollars for groceries. An unexpected {y} dollar expense arises. What is the revised budget?,x+y,"unexpected, revised"
[name] budgets {x} dollars for groceries. The receipt shows {y} dollars spent. How much remains in the budget?,x-y,"spent, remains"
The fundraiser goal is {x} dollars. The target increases by {y} dollars. What is the new goal amount?,x+y,"increases by, new goal"
The fundraiser goal is {x} dollars. [name] contributes {y} dollars. What is the remaining gap to the goal after the contribution?,x-y,"contributes, closer"
"[name] earns {x} dollars weekly. With {y} dollars in bonuses, what is the total compensation?",x+y,"bonuses, total"
"[name] earns {x} dollars weekly. After {y} dollars in deductions, what is the take-home amount?",x-y,"deductions, take-home"
The container holds {x} liters. [name] adds {y} more liters. What is the new volume?,x+y,"adds, more"
The container holds {x} liters. [name] pours out {y} liters. What is the remaining capacity?,x-y,"pours out, remaining"
The rope measures {x} meters. [name] attaches {y} more meters. What is the total length?,x+y,"attaches, more"
The rope measures {x} meters. [name] cuts off {y} meters. What length remains?,x-y,"cuts off, remains"
The building is {x} feet tall. The antenna adds {y} feet to its height. What is the new elevation?,x+y,"adds, new"
"The building is {x} feet tall. The top floor is removed, reducing height by {y} feet. What is the current height?",x-y,"removed, reducing"
The package weighs {x} kilograms. Additional contents add {y} kilograms. What is the new weight?,x+y,"add, new"
"The package weighs {x} kilograms. After removing {y} kilograms, what is the current weight?",x-y,"removing, current"
The pool contains {x} gallons. The hose adds {y} more gallons. What is the total volume?,x+y,"adds, more"
The pool contains {x} gallons. [name] drains {y} gallons for cleaning. What volume remains?,x-y,"drains, remains"
The store stocks {x} phones. A shipment adds {y} more phones. What is the new stock?,x+y,"adds, more"
"The store stocks {x} phones. By closing, {y} phones are sold. What is the remaining inventory?",x-y,"sold, remaining"
The warehouse has {x} boxes. A delivery brings {y} more boxes. What is the current count?,x+y,"brings, more"
The warehouse has {x} boxes. [name] ships out {y} boxes. How many boxes remain stored?,x-y,"ships out, remain"
The library has {x} available books. New acquisitions add {y} books. What is the updated collection?,x+y,"add, updated"
The library has {x} available books. [name] checks out {y} books. How many stay on shelves?,x-y,"checks out, stay"
The bakery prepares {x} loaves. The afternoon batch makes {y} more loaves. What is the total production?,x+y,"makes, more"
The bakery prepares {x} loaves. Customers purchase {y} loaves. How many loaves are left?,x-y,"purchase, left"
The farm has {x} chickens. New hatchlings increase the flock by {y}. What is the new population?,x+y,"increase, new"
The farm has {x} chickens. [name] sells {y} chickens at market. How many chickens remain?,x-y,"sells, remain"
The exam has {x} questions. The teacher adds {y} bonus questions. What is the new total?,x+y,"adds, bonus"
The exam has {x} questions. [name] answers {y} questions. How many questions remain?,x-y,"answers, remain"
The assignment requires {x} pages. The professor extends it by {y} pages. What is the new requirement?,x+y,"extends, new"
The assignment requires {x} pages. [name] writes {y} pages. How much more is needed?,x-y,"writes, more needed"
The textbook has {x} chapters. The new edition adds {y} chapters. What is the updated count?,x+y,"adds, updated"
The textbook has {x} chapters. [name] studies {y} chapters. How many chapters remain?,x-y,"studies, remain"
The course offers {x} credit hours. [name] adds {y} audit hours. What is the total course load?,x+y,"adds, total"
The course offers {x} credit hours. [name] drops {y} credit hours. How many credits remain?,x-y,"drops, remain"
The lab has {x} experiments. The curriculum adds {y} new experiments. What is the updated schedule?,x+y,"adds, updated"
The lab has {x} experiments. [name] completes {y} experiments. How many experiments remain?,x-y,"completes, remain"
"The bus has {x} passengers. At the stop, {y} passengers board. What is the new passenger count?",x+y,"board, new"
"The bus has {x} passengers. At the stop, {y} passengers exit. How many continue the ride?",x-y,"exit, continue"
The train makes {x} stops. The schedule adds {y} express stops. What is the updated itinerary?,x+y,"adds, updated"
"The train makes {x} stops. After {y} stops, how many remain on the route?",x-y,"after, remain"
The plane has {x} empty seats. {y} passengers cancel their tickets. How many seats become available?,x+y,"cancel, available"
The plane has {x} empty seats. {y} standby passengers are accommodated. How many seats remain?,x-y,"accommodated, remain"
The parking lot has {x} spaces. {y} reserved spaces are added. What is the new capacity?,x+y,"added, new"
The parking lot has {x} cars. {y} cars leave the lot. How many spaces are still occupied?,x-y,"leave, occupied"
The highway project needs {x} workers. {y} temporary workers join. What is the current workforce?,x+y,"join, current"
The highway project needs {x} workers. {y} workers finish their shift. How many workers are needed?,x-y,"finish, needed"
The item originally costs {x} dollars. The premium version costs {y} dollars more. What is the upgraded price?,x+y,"more, upgraded"
The item originally costs {x} dollars. The discount reduces it by {y} dollars. What is the sale price?,x-y,"reduces, sale price"
[name] brings {x} dollars to the store. They find {y} dollars in their pocket. What is their total cash?,x+y,"find, total"
[name] brings {x} dollars to the store. They spend {y} dollars. What amount remains?,x-y,"spend, remains"
The shopping list has {x} items. [name] remembers {y} more items. What is the updated list count?,x+y,"remembers, more"
The shopping list has {x} items. [name] crosses off {y} items. How many items remain?,x-y,"crosses off, remain"
The coupon saves {x} dollars. The cashier applies {y} dollars in additional savings. What is the total discount?,x+y,"additional, total"
The coupon saves {x} dollars. The fine print deducts {y} dollars from the savings. What is the net discount?,x-y,"deducts, net"
The loyalty card has {x} points. The bonus offer adds {y} points. What is the new point balance?,x+y,"adds, new"
The loyalty card has {x} points. [name] redeems {y} points. How many points remain?,x-y,"redeems, remain"
The recipe calls for {x} grams of flour. [name] decides to add {y} more grams. What is the new measurement?,x+y,"add, more"
The recipe calls for {x} grams of flour. [name] uses {y} grams. How much flour remains?,x-y,"uses, remains"
The oven needs {x} minutes to preheat. The recipe suggests {y} extra minutes. What is the total preheat time?,x+y,"extra, total"
"The oven needs {x} minutes to preheat. After {y} minutes, how much longer is needed?",x-y,"after, longer needed"
The batch makes {x} cookies. [name] bakes {y} more cookies. What is the total yield?,x+y,"bakes, more"
The batch makes {x} cookies. [name] eats {y} cookies. How many cookies remain?,x-y,"eats, remain"
The stew requires {x} hours to cook. The chef extends cooking by {y} hours. What is the new duration?,x+y,"extends, new"
"The stew requires {x} hours to cook. After {y} hours, how much cooking time remains?",x-y,"after, remains"
The jar holds {x} servings. [name] prepares {y} extra servings. What is the new total?,x+y,"extra, new"
The jar holds {x} servings. [name] consumes {y} servings. How many servings remain?,x-y,"consumes, remain"
The garden has {x} plants. [name] transplants {y} new plants. What is the new plant count?,x+y,"transplants, new"
The garden has {x} plants. [name] removes {y} weeds. How many desired plants remain?,x-y,"removes, remain"
The flowerbed needs {x} liters of water. The rainfall provides {y} additional liters. What is the total hydration?,x+y,"provides, additional"
The flowerbed needs {x} liters of water. [name] adds {y} liters. How much more water is needed?,x-y,"needs, more needed"
The seed packet contains {x} seeds. [name] receives {y} bonus seeds. What is the new total?,x+y,"receives, bonus"
The seed packet contains {x} seeds. [name] plants {y} seeds. How many seeds remain?,x-y,"plants, remain"
The tree grows {x} centimeters yearly. Fertilizer adds {y} extra centimeters. What is the total growth?,x+y,"adds, extra"
"The tree grows {x} centimeters yearly. After {y} centimeters are trimmed, what is the net growth?",x-y,"trimmed, net"
The plot fits {x} vegetables. Succession planting adds {y} more vegetables. What is the new capacity?,x+y,"adds, more"
The plot fits {x} vegetables. [name] harvests {y} vegetables. How many vegetables remain?,x-y,"harvests, remain"
The phone has {x}% battery. Charging adds {y}% power. What is the new battery level?,x+y,"adds, new"
"The phone has {x}% battery. After {y}% is used, what percentage remains?",x-y,"used, remains"
The download requires {x} megabytes. The update adds {y} more megabytes. What is the new total size?,x+y,"adds, more"
The download requires {x} megabytes. {y} megabytes complete. How much data remains?,x-y,"complete, remains"
The storage has {x} gigabytes free. Cloud storage adds {y} gigabytes. What is the new capacity?,x+y,"adds, new"
The storage has {x} gigabytes free. [name] saves {y} gigabytes of photos. How much space remains?,x-y,"saves, remains"
The video is {x} minutes long. Bonus content adds {y} minutes. What is the extended runtime?,x+y,"adds, extended"
The video is {x} minutes long. [name] watches {y} minutes. How much video remains?,x-y,"watches, remains"
The app has {x} daily uses allowed. The premium version adds {y} more uses. What is the new limit?,x+y,"adds, more"
The app has {x} daily uses allowed. [name] uses it {y} times. How many uses remain?,x-y,"uses, remain"
The game has {x} innings. Extra innings add {y} more. What is the total inning count?,x+y,"add, more"
"The game has {x} innings. After {y} innings, how many remain?",x-y,"after, remain"
The scoreboard shows {x} points. The bonus round adds {y} points. What is the new total?,x+y,"adds, new"
The scoreboard shows {x} points. The referee deducts {y} points. What is the adjusted score?,x-y,"deducts, adjusted"
The tournament has {x} rounds. The format change adds {y} qualifying rounds. What is the new structure?,x+y,"adds, new"
The tournament has {x} rounds. [name] completes {y} rounds. How many rounds remain?,x-y,"completes, remain"
The athlete needs {x} meters to win. The course extends by {y} meters. What is the new distance?,x+y,"extends, new"
The athlete needs {x} meters to win. They complete {y} meters. How much farther is needed?,x-y,"complete, farther needed"
The team has {x} timeouts. The official grants {y} additional timeouts. What is the new allowance?,x+y,"grants, additional"
The team has {x} timeouts. They call {y} timeouts. How many timeouts remain?,x-y,"call, remain"
The prescription has {x} doses. The refill adds {y} more doses. What is the new total?,x+y,"adds, more"
The prescription has {x} doses. [name] takes {y} doses. How many doses remain?,x-y,"takes, remain"
The treatment requires {x} sessions. The doctor adds {y} follow-up sessions. What is the new schedule?,x+y,"adds, new"
The treatment requires {x} sessions. [name] attends {y} sessions. How many sessions remain?,x-y,"attends, remain"
The patient needs {x} milligrams of medicine. The dosage increases by {y} milligrams. What is the new requirement?,x+y,"increases, new"
The patient needs {x} milligrams of medicine. The nurse administers {y} milligrams. How much more is needed?,x-y,"administers, more needed"
The therapy lasts {x} weeks. The extension adds {y} more weeks. What is the new duration?,x+y,"adds, more"
"The therapy lasts {x} weeks. After {y} weeks, how much longer will it continue?",x-y,"after, longer"
The fitness goal is {x} steps daily. The challenge increases by {y} steps. What is the new target?,x+y,"increases, new"
The fitness goal is {x} steps daily. [name] records {y} steps. How many more steps are needed?,x-y,"records, more needed"
The project has {x} tasks. The scope expands by {y} tasks. What is the new workload?,x+y,"expands, new"
The project has {x} tasks. [name] completes {y} tasks. How many tasks remain?,x-y,"completes, remain"
The workday is {x} hours long. Overtime adds {y} hours. What is the new shift length?,x+y,"adds, new"
"The workday is {x} hours long. After {y} hours, how much time remains?",x-y,"after, remains"
The quota requires {x} sales. The target increases by {y} sales. What is the new goal?,x+y,"increases, new"
The quota requires {x} sales. [name] makes {y} sales. How many more are needed?,x-y,"makes, more needed"
The budget allows {x} dollars. Additional funding provides {y} dollars. What is the new budget?,x+y,"provides, new"
The budget allows {x} dollars. [name] spends {y} dollars. How much remains?,x-y,"spends, remains"
The contract lasts {x} months. The renewal adds {y} months. What is the new term?,x+y,"adds, new"
"The contract lasts {x} months. After {y} months, how much time remains?",x-y,"after, remains"
The trip covers {x} kilometers. The detour adds {y} kilometers. What is the new distance?,x+y,"adds, new"
"The trip covers {x} kilometers. After {y} kilometers, how much farther is the destination?",x-y,"after, farther"
The vacation lasts {x} days. The airline extends it by {y} days. What is the new duration?,x+y,"extends, new"
"The vacation lasts {x} days. After {y} days, how many days remain?",x-y,"after, remain"
The suitcase holds {x} kilograms. The airline increases the limit by {y} kilograms. What is the new capacity?,x+y,"increases, new"
The suitcase holds {x} kilograms. [name] packs {y} kilograms. How much more weight is allowed?,x-y,"packs, more allowed"
The itinerary includes {x} cities. Last-minute changes add {y} cities. What is the new plan?,x+y,"add, new"
"The itinerary includes {x} cities. After visiting {y} cities, how many remain?",x-y,"after, remain"
The cruise has {x} ports of call. Weather changes add {y} alternative ports. What is the new schedule?,x+y,"add, new"
"The cruise has {x} ports of call. After {y} stops, how many ports remain?",x-y,"after, remain"
The guest list has {x} people. {y} last-minute RSVPs arrive. What is the new count?,x+y,"arrive, new"
The guest list has {x} people. {y} people cancel. How many attendees are expected?,x-y,"cancel, expected"
The venue seats {x} guests. Additional chairs increase capacity by {y}. What is the new total?,x+y,"increase, new"
The venue seats {x} guests. {y} seats are reserved. How many seats are open?,x-y,"reserved, open"
The event budget is {x} dollars. A sponsor contributes {y} dollars. What is the new budget?,x+y,"contributes, new"
The event budget is {x} dollars. {y} dollars are spent. How much remains?,x-y,"spent, remains"
The schedule allows {x} minutes per speaker. The organizer adds {y} bonus minutes. What is the new limit?,x+y,"adds, bonus"
"The schedule allows {x} minutes per speaker. After {y} minutes, how much time remains?",x-y,"after, remains"
The conference has {x} sessions. The committee adds {y} breakout sessions. What is the new total?,x+y,"adds, new"
The conference has {x} sessions. [name] attends {y} sessions. How many sessions remain?,x-y,"attends, remain"
The blueprint requires {x} boards. The revision adds {y} more boards. What is the new requirement?,x+y,"adds, more"
The blueprint requires {x} boards. [name] cuts {y} boards. How many more are needed?,x-y,"cuts, more needed"
The project needs {x} nails. The supplier provides {y} extra nails. What is the new total?,x+y,"provides, extra"
The project needs {x} nails. The box contains {y} nails. How many additional nails are needed?,x-y,"contains, additional needed"
The wall needs {x} bricks. The design change requires {y} more bricks. What is the new count?,x+y,"requires, more"
The wall needs {x} bricks. [name] lays {y} bricks. How many bricks remain?,x-y,"lays, remain"
The job estimates {x} hours of labor. Complications add {y} hours. What is the new estimate?,x+y,"add, new"
"The job estimates {x} hours of labor. After {y} hours, how much work remains?",x-y,"after, remains"
The order requires {x} tiles. The overage includes {y} extra tiles. What is the delivered quantity?,x+y,"includes, extra"
The order requires {x} tiles. [name] breaks {y} tiles. How many usable tiles remain?,x-y,"breaks, remain"
The production line makes {x} units per hour. Overtime adds {y} more units. What is the new output?,x+y,"adds, more"
The production line makes {x} units per hour. Maintenance removes {y} units. What is the new output?,x-y,"removes, new"
The machine processes {x} items daily. Maintenance increases capacity by {y} items. What is the new rate?,x+y,"increases, new"
The machine processes {x} items daily. {y} items complete. How many items remain?,x-y,"complete, remain"
The quality check finds {x} defects. The tolerance allows {y} more defects. What is the acceptable range?,x+y,"allows, more"
The quality check finds {y} defects in {x} items. How many items pass inspection?,x-y,"pass, inspection"
The shipment contains {x} products. The replacement adds {y} more products. What is the new inventory?,x+y,"adds, more"
The shipment contains {x} products. {y} products are damaged. How many are intact?,x-y,"damaged, intact"
The order requires {x} components. The supplier includes {y} spare components. What is the delivered count?,x+y,"includes, spare"
The order requires {x} components. The bin has {y} components. How many more are needed?,x-y,"has, more needed"
The battery stores {x} kilowatt-hours. Solar charging adds {y} kilowatt-hours. What is the new charge?,x+y,"adds, new"
The battery stores {x} kilowatt-hours. {y} kilowatt-hours are used. How much energy remains?,x-y,"used, remains"
The tank holds {x} liters of fuel. Refueling adds {y} liters. What is the new quantity?,x+y,"adds, new"
The tank holds {x} liters of fuel. [name] uses {y} liters. How much fuel remains?,x-y,"uses, remains"
The generator provides {x} hours of power. Maintenance extends runtime by {y} hours. What is the new duration?,x+y,"extends, new"
"The generator provides {x} hours of power. After {y} hours, how much runtime remains?",x-y,"after, remains"
The solar panel produces {x} watts daily. Extra sunlight increases output by {y} watts. What is the adjusted production?,x+y,"increases, adjusted"
The solar panel produces {x} watts daily. {y} watts are consumed. What is the net production?,x-y,"consumed, net"
The circuit handles {x} amps safely. Upgrades increase capacity by {y} amps. What is the new limit?,x+y,"increase, new"
The circuit handles {x} amps safely. {y} amps are flowing. How much additional load is possible?,x-y,"flowing, additional possible"
The forest has {x} trees. Replanting adds {y} new trees. What is the new count?,x+y,"adds, new"
The forest has {x} trees. Loggers remove {y} trees. How many trees remain?,x-y,"remove, remain"
The lake contains {x} fish. Stocking adds {y} more fish. What is the new population?,x+y,"adds, more"
The lake contains {x} fish. {y} fish are caught. How many fish remain?,x-y,"caught, remain"
The reserve protects {x} acres. The expansion adds {y} acres. What is the new protected area?,x+y,"adds, new"
The reserve protects {x} acres. Development reduces it by {y} acres. What is the current size?,x-y,"reduces, current"
The cleanup targets {x} tons of waste. Additional dumping adds {y} tons. What is the new total?,x+y,"adds, new"
The cleanup targets {x} tons of waste. Volunteers remove {y} tons. How much waste remains?,x-y,"remove, remains"
The air quality index shows {x} particles. Pollution adds {y} particles. What is the new measurement?,x+y,"adds, new"
